YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20180101;1200;0.00;0.02;0.00;2;5
20180102;1200;0.00;0.02;0.00;2;5
20180103;1200;-0.04;0.16;0.00;2;5
20180104;1200;-0.02;0.08;0.00;2;5
20180105;1200;-0.02;0.07;0.00;2;5
20180106;1200;-0.03;0.04;0.00;2;5
20180107;1200;0.02;0.14;0.70;2;5
20180108;1200;0.00;0.02;0.00;2;5
20180109;1200;-0.02;0.31;2.10;2;5
20180110;1200;0.17;1.27;3.50;2;5
20180111;1200;-0.03;0.24;0.70;2;5
20180112;1200;-0.03;0.04;0.00;2;5
20180113;1200;-0.03;0.05;0.00;2;5
20180114;1200;0.15;1.16;6.90;2;5
20180115;1200;-0.03;0.16;0.00;2;5
20180116;1200;-0.04;0.05;0.00;2;5
20180117;1200;-0.06;0.13;0.00;2;5
20180118;1200;-0.03;0.04;0.00;2;5
20180119;1200;-0.02;0.07;0.00;2;5
20180120;1200;-0.03;0.03;0.00;2;5
20180121;1200;0.06;0.32;1.40;2;5
20180122;1200;-0.05;0.17;0.00;2;5
20180123;1200;0.40;2.35;5.60;2;5
20180124;1200;-0.01;0.01;0.00;2;5
20180125;1200;-0.01;0.03;0.00;2;5
20180126;1200;0.00;0.08;0.00;2;5
20180127;1200;-0.01;0.01;0.00;2;5
20180128;1200;-0.01;0.01;0.00;2;5
20180129;1200;-0.01;0.01;0.00;2;5
20180130;1200;0.00;0.03;0.00;2;5
20180131;1200;-0.01;0.02;0.00;2;5
20180201;1200;-0.01;0.01;0.00;2;5
20180202;1200;-0.01;0.01;0.00;2;5
20180203;1200;0.01;0.11;0.70;2;5
20180204;1200;-0.01;0.01;0.00;2;5
20180205;1200;0.03;0.22;1.40;2;5
20180206;1200;0.00;0.05;0.00;2;5
20180207;1200;-0.01;0.01;0.00;2;5
20180208;1200;-0.01;0.01;0.00;2;5
20180209;1200;0.03;0.23;1.40;2;5
20180210;1200;-0.01;0.03;0.00;2;5
20180211;1200;0.06;0.37;2.10;2;5
20180212;1200;0.00;0.10;0.00;2;5
20180213;1200;-0.01;0.01;0.00;2;5
20180214;1200;-0.01;0.01;0.00;2;5
