YYYYMMDD;HHMM;UWND;VWND;WSPD;WDIR;SD;SD
20180101;1200;-1.1;-3.2;3.4;199.1;22222;55555
20180102;1200;-0.6;-3.3;3.4;190.2;22222;55555
20180103;1200;-1.9;-3.8;4.2;206.2;22222;55555
20180104;1200;-1.0;-3.5;3.7;196.2;22222;55555
20180105;1200;-2.7;-2.3;3.6;229.3;22222;55555
20180106;1200;-4.0;-0.2;4.0;266.5;22222;55555
20180107;1200;-3.2;-0.3;3.2;264.1;22222;55555
20180108;1200;-3.9;0.5;4.0;276.6;22222;55555
20180109;1200;-4.4;2.1;4.9;295.3;22222;55555
20180110;1200;-3.5;1.6;3.8;294.5;22222;55555
20180111;1200;-3.4;2.2;4.0;302.9;22222;55555
20180112;1200;-2.9;-0.8;3.0;254.8;22222;55555
20180113;1200;-2.8;-2.1;3.5;233.7;22222;55555
20180114;1200;-2.7;-1.6;3.1;239.4;22222;55555
20180115;1200;-3.5;-1.9;4.0;241.7;22222;55555
20180116;1200;-3.5;-0.8;3.6;257.6;22222;55555
20180117;1200;-4.0;-0.7;4.1;259.7;22222;55555
20180118;1200;-4.0;0.3;4.0;274.7;22222;55555
20180119;1200;-3.0;-0.2;3.1;267.0;22222;55555
20180120;1200;-3.2;-0.9;3.3;253.9;22222;55555
20180121;1200;-3.0;-0.3;3.0;264.5;22222;55555
20180122;1200;-3.9;-1.4;4.1;249.5;22222;55555
20180123;1200;-4.7;-0.2;4.7;268.1;22222;55555
20180124;1200;-4.7;0.0;4.7;270.3;22222;55555
20180125;1200;-4.1;-1.0;4.2;256.0;22222;55555
20180126;1200;-3.3;-1.8;3.8;241.2;22222;55555
20180127;1200;-2.5;-2.8;3.7;221.9;22222;55555
20180128;1200;-1.2;-2.9;3.1;203.2;22222;55555
20180129;1200;-0.8;-3.1;3.2;193.9;22222;55555
20180130;1200;-0.9;-3.7;3.8;193.9;22222;55555
20180131;1200;-0.3;-3.9;3.9;184.8;22222;55555
20180201;1200;-0.8;-3.7;3.8;192.7;22222;55555
20180202;1200;0.1;-3.9;3.9;178.8;22222;55555
20180203;1200;0.7;-2.6;2.6;165.8;22222;55555
20180204;1200;-2.1;-2.8;3.5;217.5;22222;55555
20180205;1200;-3.8;-1.4;4.0;250.4;22222;55555
20180206;1200;-3.0;-2.5;3.9;230.2;22222;55555
20180207;1200;-1.0;-3.2;3.4;197.5;22222;55555
20180208;1200;-1.7;-2.6;3.1;212.2;22222;55555
20180209;1200;-3.1;-1.4;3.4;246.3;22222;55555
20180210;1200;-3.6;0.4;3.6;275.7;22222;55555
20180211;1200;-3.6;1.3;3.8;289.1;22222;55555
20180212;1200;-4.1;-0.2;4.1;266.7;22222;55555
20180213;1200;-3.4;0.0;3.4;269.7;22222;55555
20180214;1200;-4.0;1.4;4.2;289.3;22222;55555
20180215;1200;-3.9;0.3;3.9;274.0;22222;55555
20180216;1200;-3.8;0.3;3.8;274.8;22222;55555
20180217;1200;-3.5;0.8;3.5;282.1;22222;55555
20180218;1200;-2.1;-0.3;2.2;262.2;22222;55555
20180219;1200;-2.2;-0.9;2.4;247.0;22222;55555
20180220;1200;-2.8;-1.2;3.0;247.3;22222;55555
20180221;1200;-3.0;-1.9;3.6;237.3;22222;55555
20180222;1200;-3.0;-2.2;3.7;233.3;22222;55555
20180223;1200;-1.2;-3.3;3.5;199.7;22222;55555
20180224;1200;-2.2;-2.1;3.1;226.4;22222;55555
20180225;1200;-3.6;-1.1;3.8;253.4;22222;55555
20180226;1200;-3.3;-0.8;3.4;256.7;22222;55555
20180227;1200;-2.6;-1.3;2.9;243.6;22222;55555
20180228;1200;-2.2;-2.0;3.0;227.8;22222;55555
20180301;1200;-1.8;-2.3;3.0;217.7;22222;55555
20180302;1200;-2.0;-1.8;2.7;228.2;22222;55555
20180303;1200;-1.8;-2.1;2.8;220.3;22222;55555
20180304;1200;-1.0;-2.7;2.9;200.3;22222;55555
20180305;1200;-0.7;-2.9;3.0;193.5;22222;55555
20180306;1200;1.1;-3.1;3.3;159.9;22222;55555
20180307;1200;1.4;-3.0;3.3;154.5;22222;55555
20180308;1200;0.0;-3.0;3.0;179.8;22222;55555
20180309;1200;0.6;-2.9;3.0;167.8;22222;55555
20180310;1200;-0.4;-3.1;3.2;187.4;22222;55555
20180311;1200;1.0;-4.0;4.2;166.1;22222;55555
20180312;1200;1.8;-4.5;4.9;158.3;22222;55555
20180313;1200;1.7;-2.6;3.1;146.6;22222;55555
20180314;1200;-0.6;-1.7;1.8;199.6;22222;55555
20180315;1200;-2.9;-0.5;2.9;260.7;22222;55555
20180316;1200;-1.2;-2.6;2.9;204.5;22222;55555
20180317;1200;-2.0;-1.7;2.7;230.4;22222;55555
20180318;1200;-1.8;-1.5;2.4;231.0;22222;55555
20180319;1200;-1.4;-1.7;2.2;219.4;22222;55555
20180320;1200;-2.3;-2.4;3.3;223.9;22222;55555
20180321;1200;-2.2;-2.6;3.5;220.5;22222;55555
20180322;1200;-2.7;-2.5;3.7;226.9;22222;55555
20180323;1200;-4.1;-0.2;4.1;266.7;22222;55555
20180324;1200;-4.6;0.8;4.7;280.5;22222;55555
20180325;1200;-4.1;1.6;4.4;291.8;22222;55555
20180326;1200;-4.4;1.2;4.5;285.7;22222;55555
20180327;1200;-4.3;1.6;4.5;290.2;22222;55555
20180328;1200;-3.8;1.4;4.1;290.2;22222;55555
20180329;1200;-3.6;0.3;3.6;274.1;22222;55555
20180330;1200;-2.9;1.1;3.0;291.0;22222;55555
20180331;1200;-2.8;0.1;2.8;272.6;22222;55555
20180401;1200;-2.8;-0.1;2.8;267.1;22222;55555
20180402;1200;-2.2;-0.8;2.3;251.1;22222;55555
20180403;1200;-1.9;-2.4;3.0;218.2;22222;55555
20180404;1200;-2.3;-2.6;3.5;222.1;22222;55555
20180405;1200;-1.9;-2.4;3.1;218.2;22222;55555
20180406;1200;-0.9;-1.7;1.9;207.2;22222;55555
20180407;1200;-2.7;-0.3;2.7;262.7;22222;55555
20180408;1200;-2.4;-0.4;2.5;260.2;22222;55555
20180409;1200;-3.2;0.1;3.2;272.6;22222;55555
20180410;1200;-3.5;1.2;3.7;288.7;22222;55555
20180411;1200;-4.2;1.3;4.4;286.9;22222;55555
20180412;1200;-4.8;1.3;5.0;285.5;22222;55555
20180413;1200;-4.4;1.3;4.6;285.8;22222;55555
20180414;1200;-3.2;1.5;3.5;295.0;22222;55555
20180415;1200;-2.4;2.6;3.6;317.6;22222;55555
20180416;1200;-2.1;2.2;3.0;316.4;22222;55555
20180417;1200;-3.2;3.6;4.8;318.2;22222;55555
20180418;1200;-3.5;4.5;5.7;322.4;22222;55555
20180419;1200;-3.3;4.0;5.2;320.3;22222;55555
20180420;1200;-1.5;3.8;4.1;338.3;22222;55555
20180421;1200;-2.2;3.8;4.4;329.8;22222;55555
20180422;1200;-2.9;3.1;4.3;317.0;22222;55555
20180423;1200;-4.6;1.5;4.8;288.4;22222;55555
20180424;1200;-4.5;1.6;4.8;289.6;22222;55555
20180425;1200;-4.4;0.9;4.5;282.0;22222;55555
20180426;1200;-4.0;0.5;4.0;276.8;22222;55555
20180427;1200;-3.2;1.2;3.5;290.7;22222;55555
20180428;1200;-2.7;2.2;3.5;309.0;22222;55555
20180429;1200;-2.9;2.8;4.0;313.3;22222;55555
20180430;1200;-4.5;1.3;4.7;286.2;22222;55555
20180501;1200;-3.6;0.0;3.6;270.0;22222;55555
20180502;1200;-2.6;0.2;2.7;275.0;22222;55555
20180503;1200;-1.4;3.0;3.3;335.8;22222;55555
20180504;1200;-4.1;3.4;5.3;310.0;22222;55555
20180505;1200;-4.7;2.3;5.2;296.1;22222;55555
20180506;1200;-3.6;1.3;3.9;289.6;22222;55555
20180507;1200;-2.0;3.2;3.8;328.4;22222;55555
20180508;1200;-2.2;3.0;3.7;323.2;22222;55555
20180509;1200;-3.0;3.6;4.7;320.9;22222;55555
20180510;1200;-3.9;4.3;5.8;317.9;22222;55555
20180511;1200;-3.3;2.3;4.0;304.8;22222;55555
20180512;1200;-2.0;-1.9;2.7;226.3;22222;55555
20180513;1200;0.0;-1.9;1.9;181.1;22222;55555
20180514;1200;-2.2;0.6;2.3;286.0;22222;55555
20180515;1200;-3.5;1.0;3.6;286.1;22222;55555
20180516;1200;-2.1;-1.7;2.8;231.0;22222;55555
20180517;1200;-2.2;-1.7;2.8;232.2;22222;55555
20180518;1200;-2.9;-0.7;3.0;255.6;22222;55555
20180519;1200;-2.9;-1.9;3.4;236.9;22222;55555
20180520;1200;-1.2;-3.5;3.7;199.6;22222;55555
20180521;1200;-0.1;0.8;0.8;351.2;22222;55555
20180522;1200;-3.2;2.8;4.2;310.6;22222;55555
20180523;1200;-2.9;1.8;3.4;302.0;22222;55555
20180524;1200;-2.9;3.1;4.2;317.6;22222;55555
20180525;1200;-3.1;4.3;5.3;324.8;22222;55555
20180526;1200;-4.2;4.4;6.1;315.9;22222;55555
20180527;1200;-3.6;2.0;4.1;299.3;22222;55555
20180528;1200;-3.2;3.6;4.8;318.2;22222;55555
20180529;1200;-3.3;3.0;4.5;312.6;22222;55555
20180530;1200;-3.9;1.4;4.1;289.4;22222;55555
20180531;1200;-4.2;-0.5;4.3;262.7;22222;55555
20180601;1200;-5.1;-0.3;5.1;266.8;22222;55555
20180602;1200;-4.6;-0.5;4.6;263.3;22222;55555
20180603;1200;-2.5;-1.6;3.0;238.5;22222;55555
20180604;1200;-0.3;2.3;2.3;353.1;22222;55555
20180605;1200;-1.4;4.0;4.2;340.6;22222;55555
20180606;1200;-1.3;-0.3;1.4;256.5;22222;55555
20180607;1200;-1.6;-1.7;2.3;222.9;22222;55555
20180608;1200;-0.5;-3.9;4.0;187.9;22222;55555
20180609;1200;-0.1;-0.6;0.6;192.6;22222;55555
20180610;1200;-3.2;3.4;4.7;316.3;22222;55555
20180611;1200;-3.7;0.5;3.8;277.9;22222;55555
20180612;1200;-4.2;-0.8;4.2;259.8;22222;55555
20180613;1200;-3.4;-1.6;3.8;245.6;22222;55555
20180614;1200;-2.2;-1.8;2.9;230.9;22222;55555
20180615;1200;-1.4;0.9;1.7;301.3;22222;55555
20180616;1200;-2.5;0.8;2.7;288.7;22222;55555
20180617;1200;-1.8;0.1;1.8;274.7;22222;55555
20180618;1200;-1.8;1.2;2.2;302.6;22222;55555
20180619;1200;-3.5;4.7;5.8;322.9;22222;55555
20180620;1200;-3.5;4.3;5.5;320.4;22222;55555
20180621;1200;-4.4;1.7;4.7;290.8;22222;55555
20180622;1200;-2.3;-2.4;3.4;224.4;22222;55555
20180623;1200;-2.1;-1.2;2.4;240.8;22222;55555
20180624;1200;-3.7;0.4;3.7;276.1;22222;55555
20180625;1200;-3.6;-0.9;3.7;255.0;22222;55555
20180626;1200;-3.4;-0.1;3.4;268.7;22222;55555
20180627;1200;-3.2;0.0;3.2;269.6;22222;55555
20180628;1200;-5.1;2.0;5.5;291.4;22222;55555
20180629;1200;-5.4;1.8;5.7;288.2;22222;55555
20180630;1200;-4.8;0.7;4.8;277.9;22222;55555
20180701;1200;-4.1;-1.0;4.2;256.9;22222;55555
20180702;1200;-2.9;-1.2;3.2;247.3;22222;55555
20180703;1200;-2.5;-0.1;2.5;268.1;22222;55555
20180704;1200;-1.5;1.2;2.0;308.7;22222;55555
20180705;1200;-2.5;1.3;2.8;297.2;22222;55555
20180706;1200;-2.6;0.7;2.7;284.4;22222;55555
20180707;1200;-2.9;1.1;3.1;289.7;22222;55555
20180708;1200;-1.9;-1.1;2.2;241.7;22222;55555
20180709;1200;-0.7;-2.6;2.6;194.7;22222;55555
20180710;1200;-1.9;-1.6;2.5;229.6;22222;55555
20180711;1200;-2.0;-1.9;2.7;226.6;22222;55555
20180712;1200;-1.1;-1.6;1.9;216.0;22222;55555
20180713;1200;-1.4;0.6;1.5;294.1;22222;55555
20180714;1200;-3.1;0.0;3.1;269.2;22222;55555
20180715;1200;-3.9;0.8;4.0;281.5;22222;55555
