YYYYMMDD;HHMM;DYN;Q
20180101;1200;98.63;2
20180102;1200;99.70;2
20180103;1200;100.37;2
20180104;1200;99.70;2
20180105;1200;99.59;2
20180106;1200;99.57;2
20180107;1200;99.78;2
20180108;1200;99.87;2
20180109;1200;99.74;2
20180110;1200;99.75;2
20180111;1200;99.78;2
20180112;1200;99.72;2
20180113;1200;99.57;2
20180114;1200;99.34;2
20180115;1200;99.64;2
20180116;1200;100.04;2
20180117;1200;99.96;2
20180118;1200;100.37;2
20180119;1200;100.48;2
20180120;1200;100.35;2
20180121;1200;100.70;2
20180122;1200;101.49;2
20180123;1200;102.13;2
20180124;1200;101.92;2
20180125;1200;102.59;2
20180126;1200;102.91;2
20180127;1200;103.02;2
20180128;1200;103.11;2
20180129;1200;103.58;2
20180130;1200;103.99;2
20180131;1200;103.56;2
20180201;1200;103.73;2
20180202;1200;104.13;2
20180203;1200;104.51;2
20180204;1200;104.23;2
20180205;1200;103.34;2
20180206;1200;103.55;2
20180207;1200;103.46;2
20180208;1200;103.41;2
20180209;1200;103.73;2
20180210;1200;104.05;2
20180211;1200;104.21;2
20180212;1200;104.32;2
20180213;1200;104.46;2
20180214;1200;104.69;2
20180215;1200;104.59;2
20180216;1200;104.64;2
20180217;1200;104.81;2
20180218;1200;104.99;2
20180219;1200;104.97;2
20180220;1200;104.97;2
20180221;1200;105.08;2
20180222;1200;105.23;2
20180223;1200;105.13;2
20180224;1200;105.10;2
20180225;1200;105.11;2
20180226;1200;105.29;2
20180227;1200;105.36;2
20180228;1200;105.47;2
20180301;1200;105.64;2
20180302;1200;105.43;2
20180303;1200;105.51;2
20180304;1200;105.71;2
20180305;1200;105.50;2
20180306;1200;105.53;2
20180307;1200;105.32;2
20180308;1200;105.17;2
20180309;1200;105.35;2
20180310;1200;105.20;2
20180311;1200;105.18;2
20180312;1200;105.39;2
20180313;1200;105.27;2
20180314;1200;104.97;2
20180315;1200;105.18;2
20180316;1200;105.22;2
20180317;1200;105.55;2
20180318;1200;105.33;2
20180319;1200;105.64;2
20180320;1200;105.73;2
20180321;1200;106.04;2
20180322;1200;105.81;2
20180323;1200;106.22;2
20180324;1200;106.94;2
20180325;1200;106.83;2
20180326;1200;106.67;2
20180327;1200;106.56;2
20180328;1200;106.37;2
20180329;1200;105.77;2
20180330;1200;105.41;2
20180331;1200;105.33;2
