YYYYMMDD;HHMM;DYN;Q
20180401;1200;105.52;2
20180402;1200;105.50;2
20180403;1200;105.48;2
20180404;1200;105.43;2
20180405;1200;105.01;2
20180406;1200;104.69;2
20180407;1200;105.13;2
20180408;1200;105.33;2
20180409;1200;105.29;2
20180410;1200;105.34;2
20180411;1200;105.73;2
20180412;1200;105.45;2
20180413;1200;105.01;2
20180414;1200;105.01;2
20180415;1200;105.00;2
20180416;1200;104.80;2
20180417;1200;104.46;2
20180418;1200;103.77;2
20180419;1200;103.50;2
20180420;1200;102.72;2
20180421;1200;102.14;2
20180422;1200;102.06;2
20180423;1200;101.97;2
20180424;1200;102.12;2
20180425;1200;101.98;2
20180426;1200;102.07;2
20180427;1200;101.87;2
20180428;1200;102.12;2
20180429;1200;102.09;2
20180430;1200;101.80;2
20180501;1200;101.75;2
20180502;1200;101.92;2
20180503;1200;102.08;2
20180504;1200;101.84;2
20180505;1200;102.26;2
20180506;1200;102.45;2
20180507;1200;102.16;2
20180508;1200;102.29;2
20180509;1200;102.72;2
20180510;1200;102.43;2
20180511;1200;101.98;2
20180512;1200;102.63;2
20180513;1200;102.45;2
20180514;1200;102.70;2
20180515;1200;103.06;2
20180516;1200;103.43;2
20180517;1200;103.88;2
20180518;1200;103.90;2
20180519;1200;103.59;2
20180520;1200;103.23;2
20180521;1200;103.37;2
20180522;1200;103.33;2
20180523;1200;103.86;2
20180524;1200;103.59;2
20180525;1200;103.53;2
20180526;1200;103.92;2
20180527;1200;103.52;2
20180528;1200;103.76;2
20180529;1200;103.23;2
20180530;1200;103.02;2
20180531;1200;102.78;2
20180601;1200;102.45;2
20180602;1200;102.72;2
20180603;1200;102.81;2
20180604;1200;102.51;2
20180605;1200;102.36;2
20180606;1200;102.34;2
20180607;1200;102.27;2
20180608;1200;102.82;2
20180609;1200;103.03;2
20180610;1200;102.32;2
20180611;1200;102.65;2
20180612;1200;102.58;2
20180613;1200;102.63;2
20180614;1200;103.01;2
20180615;1200;103.47;2
20180616;1200;103.54;2
20180617;1200;103.44;2
20180618;1200;103.51;2
20180619;1200;103.61;2
20180620;1200;103.49;2
20180621;1200;103.71;2
20180622;1200;103.52;2
20180623;1200;103.21;2
20180624;1200;102.90;2
20180625;1200;102.75;2
20180626;1200;102.83;2
20180627;1200;102.41;2
20180628;1200;102.06;2
20180629;1200;101.76;2
20180630;1200;101.76;2
20180701;1200;101.70;2
20180702;1200;101.67;2
20180703;1200;101.59;2
20180704;1200;101.41;2
20180705;1200;101.28;2
20180706;1200;101.24;2
20180707;1200;101.29;2
20180708;1200;101.32;2
20180709;1200;101.82;2
20180710;1200;102.18;2
20180711;1200;102.46;2
20180712;1200;102.78;2
20180713;1200;102.88;2
20180714;1200;102.94;2
20180715;1200;102.93;2
20180716;1200;103.42;2
20180717;1200;103.22;2
20180718;1200;103.40;2
20180719;1200;102.91;2
20180720;1200;103.04;2
20180721;1200;103.42;2
20180722;1200;103.35;2
20180723;1200;103.12;2
20180724;1200;102.83;2
20180725;1200;102.74;2
20180726;1200;102.46;2
20180727;1200;102.28;2
20180728;1200;102.33;2
20180729;1200;102.08;2
20180730;1200;101.43;2
20180731;1200;101.62;2
20180801;1200;101.88;2
20180802;1200;102.10;2
20180803;1200;102.08;2
20180804;1200;101.90;2
20180805;1200;101.70;2
20180806;1200;101.40;2
20180807;1200;100.73;2
20180808;1200;100.66;2
20180809;1200;101.09;2
20180810;1200;100.81;2
20180811;1200;100.89;2
20180812;1200;100.98;2
20180813;1200;100.83;2
20180814;1200;100.70;2
20180815;1200;100.62;2
20180816;1200;100.82;2
20180817;1200;101.22;2
20180818;1200;101.69;2
20180819;1200;101.67;2
20180820;1200;101.69;2
20180821;1200;101.62;2
20180822;1200;101.46;2
20180823;1200;101.22;2
20180824;1200;100.61;2
20180825;1200;99.67;2
20180826;1200;98.83;2
20180827;1200;98.77;2
20180828;1200;99.42;2
20180829;1200;99.07;2
20180830;1200;98.16;2
20180831;1200;97.56;2
20180901;1200;97.51;2
20180902;1200;97.16;2
20180903;1200;96.70;2
20180904;1200;97.21;2
20180905;1200;97.10;2
20180906;1200;97.44;2
20180907;1200;97.17;2
20180908;1200;97.26;2
20180909;1200;96.69;2
20180910;1200;96.78;2
20180911;1200;96.66;2
20180912;1200;96.75;2
20180913;1200;96.52;2
20180914;1200;96.26;2
20180915;1200;96.11;2
20180916;1200;95.40;2
20180917;1200;94.06;2
20180918;1200;94.01;2
20180919;1200;94.06;2
20180920;1200;94.26;2
20180921;1200;94.25;2
20180922;1200;94.32;2
20180923;1200;94.20;2
20180924;1200;94.61;2
20180925;1200;95.28;2
20180926;1200;95.62;2
20180927;1200;95.91;2
20180928;1200;96.33;2
20180929;1200;96.40;2
20180930;1200;96.60;2
20181001;1200;97.01;2
20181002;1200;97.31;2
20181003;1200;97.27;2
20181004;1200;97.60;2
20181005;1200;98.29;2
20181006;1200;98.97;2
20181007;1200;98.86;2
20181008;1200;98.55;2
20181009;1200;98.76;2
20181010;1200;99.98;2
20181011;1200;100.52;2
20181012;1200;100.77;2
20181013;1200;101.18;2
20181014;1200;101.46;2
20181015;1200;101.65;2
20181016;1200;101.57;2
20181017;1200;101.46;2
20181018;1200;101.04;2
20181019;1200;101.18;2
20181020;1200;101.36;2
20181021;1200;101.05;2
20181022;1200;101.46;2
20181023;1200;101.14;2
20181024;1200;101.30;2
20181025;1200;101.82;2
20181026;1200;101.81;2
20181027;1200;101.99;2
20181028;1200;102.47;2
20181029;1200;102.66;2
20181030;1200;102.32;2
20181031;1200;102.29;2
20181101;1200;102.04;2
20181102;1200;101.78;2
20181103;1200;101.43;2
20181104;1200;101.70;2
20181105;1200;101.82;2
20181106;1200;101.93;2
20181107;1200;101.94;2
20181108;1200;102.00;2
20181109;1200;102.24;2
20181110;1200;102.09;2
20181111;1200;101.47;2
20181112;1200;101.06;2
20181113;1200;100.53;2
20181114;1200;100.26;2
20181115;1200;100.06;2
20181116;1200;99.30;2
20181117;1200;99.10;2
20181118;1200;98.67;2
20181119;1200;98.59;2
20181120;1200;98.65;2
20181121;1200;98.56;2
20181122;1200;98.32;2
20181123;1200;98.02;2
20181124;1200;98.01;2
20181125;1200;98.24;2
20181126;1200;98.10;2
20181127;1200;98.11;2
20181128;1200;98.10;2
20181129;1200;-9.99;0
20181130;1200;-9.99;0
20181201;1200;98.39;2
20181202;1200;98.31;2
20181203;1200;98.57;2
20181204;1200;98.58;2
20181205;1200;98.34;2
20181206;1200;98.28;2
20181207;1200;98.62;2
20181208;1200;98.63;2
20181209;1200;98.20;2
20181210;1200;98.16;2
20181211;1200;98.11;2
20181212;1200;97.94;2
20181213;1200;98.10;2
20181214;1200;97.98;2
20181215;1200;97.71;2
20181216;1200;97.37;2
20181217;1200;97.45;2
20181218;1200;97.38;2
20181219;1200;97.27;2
20181220;1200;97.34;2
20181221;1200;97.50;2
20181222;1200;97.40;2
20181223;1200;97.70;2
20181224;1200;98.16;2
20181225;1200;98.39;2
20181226;1200;98.96;2
20181227;1200;99.54;2
20181228;1200;100.18;2
20181229;1200;100.22;2
20181230;1200;100.78;2
20181231;1200;101.53;2
