YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20210101;1200;0.00;0.38;1.00;2;1
20210102;1200;0.00;0.14;0.00;2;1
20210103;1200;0.00;0.38;0.00;2;1
20210104;1200;0.14;2.75;3.00;2;1
20210105;1200;0.00;0.19;0.00;2;1
20210106;1200;0.00;0.76;0.00;2;1
20210107;1200;0.00;0.43;0.00;2;1
20210108;1200;0.00;0.57;0.00;2;1
20210109;1200;-0.05;0.57;0.00;2;1
20210110;1200;0.00;0.24;0.00;2;1
20210111;1200;0.00;0.19;0.00;2;1
20210112;1200;0.09;1.04;2.00;2;1
20210113;1200;0.00;0.52;0.00;2;1
20210114;1200;0.00;0.52;0.00;2;1
20210115;1200;0.00;0.19;1.00;2;1
20210116;1200;-0.05;0.62;0.00;2;1
20210117;1200;0.00;0.14;0.00;2;1
20210118;1200;0.00;0.14;0.00;2;1
20210119;1200;-0.05;0.76;0.00;2;1
20210120;1200;0.00;0.43;0.00;2;1
20210121;1200;0.09;1.04;2.00;2;1
20210122;1200;0.00;0.14;0.00;2;1
20210123;1200;0.09;1.61;1.00;2;1
20210124;1200;0.00;0.43;1.00;2;1
20210125;1200;0.00;0.14;0.00;2;1
20210126;1200;0.00;0.43;0.00;2;1
20210127;1200;0.00;0.14;0.00;2;1
20210128;1200;0.05;0.76;1.00;2;1
20210129;1200;0.00;0.57;0.00;2;1
20210130;1200;0.05;0.52;0.00;2;1
20210131;1200;0.14;1.61;2.00;2;1
20210201;1200;0.00;0.62;1.00;2;1
20210202;1200;0.00;0.43;0.00;2;1
20210203;1200;0.38;3.37;4.00;2;1
20210204;1200;0.00;0.24;0.00;2;1
20210205;1200;0.43;2.66;8.00;2;1
20210206;1200;0.00;0.33;1.00;2;1
20210207;1200;-0.05;0.52;0.00;2;1
20210208;1200;-0.05;0.66;0.00;2;1
20210209;1200;0.05;0.90;1.00;2;1
20210210;1200;0.00;0.24;0.00;2;1
20210211;1200;0.00;0.28;0.00;2;1
20210212;1200;-0.05;0.52;2.00;2;1
20210213;1200;0.00;0.28;0.00;2;1
20210214;1200;0.00;0.33;0.00;2;1
20210215;1200;-0.05;0.62;0.00;2;1
20210216;1200;0.00;0.57;0.00;2;1
20210217;1200;0.09;0.90;4.00;2;1
20210218;1200;0.00;0.28;0.00;2;1
20210219;1200;-0.05;0.43;2.00;2;1
20210220;1200;0.09;2.18;1.00;2;1
20210221;1200;0.33;2.66;7.00;2;1
20210222;1200;0.00;0.28;0.00;2;1
20210223;1200;0.09;0.81;2.00;2;1
20210224;1200;0.05;0.66;1.00;2;1
20210225;1200;0.00;0.14;0.00;2;1
20210226;1200;0.00;0.33;0.00;2;1
20210227;1200;0.00;0.28;0.00;2;1
20210228;1200;0.00;0.09;0.00;2;1
20210301;1200;0.05;0.33;1.00;2;1
20210302;1200;0.09;0.62;3.00;2;1
20210303;1200;0.00;0.52;0.00;2;1
20210304;1200;0.00;0.09;0.00;2;1
20210305;1200;0.00;0.52;0.00;2;1
20210306;1200;0.00;0.66;0.00;2;1
20210307;1200;0.00;0.14;0.00;2;1
20210308;1200;0.00;0.57;0.00;2;1
20210309;1200;0.00;0.33;0.00;2;1
20210310;1200;0.00;0.09;0.00;2;1
20210311;1200;0.00;0.57;0.00;2;1
20210312;1200;0.00;0.09;0.00;2;1
20210313;1200;0.09;1.14;2.00;2;1
20210314;1200;0.00;0.09;0.00;2;1
