YYYYMMDD;HHMM;UWND;VWND;WSPD;WDIR;SD;SD
20210101;1200;-5.4;-2.8;6.1;242.2;22;11
20210102;1200;-4.7;-2.5;5.3;241.6;22;11
20210103;1200;-5.6;-3.2;6.5;240.6;22;11
20210104;1200;-7.5;-1.4;7.6;259.7;22;11
20210105;1200;-5.4;-0.8;5.5;261.1;22;11
20210106;1200;-4.7;-1.6;4.9;250.8;22;11
20210107;1200;-5.0;-2.7;5.7;241.9;22;11
20210108;1200;-4.9;-3.5;6.0;234.3;22;11
20210109;1200;-4.6;-3.6;5.8;232.0;22;11
20210110;1200;-5.3;-1.5;5.5;254.4;22;11
20210111;1200;-5.6;-0.3;5.6;267.0;22;11
20210112;1200;-4.8;-0.8;4.9;260.6;22;11
20210113;1200;-6.6;-0.1;6.6;269.4;22;11
20210114;1200;-5.9;-1.7;6.1;253.6;22;11
20210115;1200;-6.7;-0.1;6.7;268.8;22;11
20210116;1200;-7.1;0.8;7.2;276.1;22;11
20210117;1200;-5.0;1.3;5.2;284.7;22;11
20210118;1200;-5.2;-1.2;5.4;256.9;22;11
20210119;1200;-5.6;-0.5;5.6;265.1;22;11
20210120;1200;-4.4;-0.2;4.4;267.8;22;11
20210121;1200;-4.6;-0.2;4.6;266.9;22;11
20210122;1200;-5.7;1.9;6.0;288.3;22;11
20210123;1200;-5.9;1.8;6.1;287.0;22;11
20210124;1200;-5.8;0.7;5.9;277.0;22;11
20210125;1200;-6.1;-0.7;6.1;263.2;22;11
20210126;1200;-6.5;0.7;6.5;275.7;22;11
20210127;1200;-5.7;0.8;5.7;278.0;22;11
20210128;1200;-5.2;-0.8;5.3;261.6;22;11
20210129;1200;-6.1;-0.7;6.1;263.2;22;11
20210130;1200;-6.1;-0.7;6.1;263.2;22;11
20210131;1200;-5.6;-0.3;5.6;267.0;22;11
20210201;1200;-6.0;0.5;6.0;274.3;22;11
20210202;1200;-6.7;-1.2;6.8;259.6;22;11
20210203;1200;-4.5;-0.6;4.5;261.9;22;11
20210204;1200;-4.6;-2.3;5.1;243.7;22;11
20210205;1200;-1.7;-6.5;6.7;194.9;22;11
20210206;1200;-2.3;-8.4;8.7;195.5;22;11
20210207;1200;-1.4;-6.2;6.3;193.2;22;11
20210208;1200;-3.9;-3.7;5.4;226.2;22;11
20210209;1200;-3.5;-2.2;4.2;237.5;22;11
20210210;1200;-5.2;-1.7;5.5;252.3;22;11
20210211;1200;-5.7;-0.1;5.7;268.9;22;11
20210212;1200;-5.3;-0.1;5.3;268.6;22;11
20210213;1200;-4.4;1.4;4.7;287.4;22;11
20210214;1200;-4.1;-0.5;4.1;263.5;22;11
20210215;1200;-3.3;-3.3;4.6;225.2;22;11
20210216;1200;-2.0;-5.1;5.5;201.0;22;11
20210217;1200;-1.8;-7.3;7.5;193.5;22;11
20210218;1200;-4.8;-7.2;8.6;214.1;22;11
20210219;1200;-4.7;-6.0;7.7;218.1;22;11
20210220;1200;-6.3;-3.0;7.0;244.4;22;11
20210221;1200;-6.6;-3.8;7.6;240.0;22;11
20210222;1200;-5.7;-1.6;5.9;253.8;22;11
20210223;1200;-5.1;-2.9;5.9;240.1;22;11
20210224;1200;-5.0;-3.6;6.2;234.7;22;11
20210225;1200;-5.6;-2.3;6.1;247.9;22;11
20210226;1200;-6.5;-1.6;6.7;256.3;22;11
20210227;1200;-6.2;1.6;6.4;284.7;22;11
20210228;1200;-6.5;2.8;7.1;293.3;22;11
20210301;1200;-5.8;2.2;6.3;291.0;22;11
20210302;1200;-5.6;1.7;5.9;286.8;22;11
20210303;1200;-4.1;1.6;4.4;291.0;22;11
20210304;1200;-2.1;1.0;2.4;294.8;22;11
20210305;1200;-2.5;-3.1;4.0;218.1;22;11
20210306;1200;-1.8;-5.9;6.1;197.0;22;11
20210307;1200;-1.2;-5.7;5.8;192.5;22;11
20210308;1200;-0.1;-5.2;5.2;181.6;22;11
20210309;1200;1.4;-4.7;5.0;163.1;22;11
20210310;1200;-1.1;-5.4;5.5;192.0;22;11
20210311;1200;-3.2;-2.5;4.1;231.3;22;11
20210312;1200;-3.8;-0.3;3.8;265.4;22;11
20210313;1200;-4.1;0.5;4.1;276.5;22;11
20210314;1200;-4.5;0.9;4.6;281.8;22;11
20210315;1200;-3.9;1.2;4.1;286.9;22;11
20210316;1200;-5.1;1.5;5.3;286.4;22;11
20210317;1200;-5.2;1.2;5.4;283.3;22;11
20210318;1200;-5.5;0.0;5.5;269.8;22;11
20210319;1200;-5.8;1.0;5.8;279.7;22;11
20210320;1200;-5.6;2.8;6.3;296.2;22;11
20210321;1200;-5.5;2.9;6.2;297.6;22;11
20210322;1200;-2.9;1.9;3.5;303.3;22;11
20210323;1200;-0.9;1.4;1.7;327.9;22;11
20210324;1200;-1.5;1.8;2.3;319.3;22;11
20210325;1200;-1.8;1.2;2.1;304.0;22;11
20210326;1200;0.6;0.9;1.0;32.3;22;11
20210327;1200;2.1;-2.6;3.3;141.1;22;11
20210328;1200;0.7;-4.2;4.3;170.0;22;11
20210329;1200;-0.7;-3.5;3.6;191.5;22;11
20210330;1200;-3.2;-3.4;4.7;222.8;22;11
20210331;1200;0.1;-5.7;5.7;178.9;22;11
20210401;1200;0.7;-5.7;5.7;172.5;22;11
20210402;1200;2.6;-2.7;3.8;136.6;22;11
20210403;1200;0.5;1.8;1.8;15.8;22;11
20210404;1200;0.8;2.9;3.0;15.3;22;11
20210405;1200;-0.7;3.6;3.7;349.2;22;11
20210406;1200;-3.7;4.3;5.7;319.5;22;11
20210407;1200;-5.1;4.1;6.6;308.6;22;11
20210408;1200;-5.3;5.5;7.6;316.1;22;11
20210409;1200;-5.0;4.4;6.7;311.0;22;11
20210410;1200;-5.5;2.0;5.9;289.6;22;11
20210411;1200;-3.8;3.0;4.8;308.4;22;11
20210412;1200;-1.1;-1.0;1.5;227.6;22;11
20210413;1200;2.6;-1.6;3.1;122.3;22;11
20210414;1200;1.8;2.0;2.6;41.6;22;11
20210415;1200;-0.4;6.4;6.4;356.1;22;11
20210416;1200;-4.2;3.5;5.5;309.4;22;11
20210417;1200;-6.8;2.0;7.1;286.4;22;11
20210418;1200;-6.5;0.2;6.5;271.8;22;11
20210419;1200;-3.0;-4.2;5.2;215.4;22;11
20210420;1200;-1.0;-5.8;5.8;189.7;22;11
20210421;1200;3.9;-4.7;6.1;140.6;22;11
20210422;1200;3.9;-0.1;3.9;91.2;22;11
20210423;1200;3.0;1.6;3.4;62.4;22;11
20210424;1200;2.4;0.1;2.4;87.8;22;11
20210425;1200;1.4;0.9;1.7;57.9;22;11
20210426;1200;-1.4;-1.4;2.0;225.4;22;11
20210427;1200;-4.0;-0.2;4.0;267.2;22;11
20210428;1200;-2.6;-2.1;3.3;231.1;22;11
20210429;1200;-1.0;2.2;2.4;336.0;22;11
20210430;1200;-1.8;7.5;7.7;346.4;22;11
20210501;1200;-3.4;7.2;8.0;334.6;22;11
20210502;1200;-5.2;5.8;7.8;318.0;22;11
20210503;1200;-6.0;2.2;6.4;289.7;22;11
20210504;1200;-5.3;3.4;6.3;302.8;22;11
20210505;1200;-4.4;1.2;4.5;285.5;22;11
20210506;1200;-3.6;0.9;3.7;284.2;22;11
20210507;1200;-2.1;-2.6;3.3;219.4;22;11
20210508;1200;-0.6;2.4;2.5;346.3;22;11
20210509;1200;-2.4;8.7;9.0;344.8;22;11
20210510;1200;-0.7;8.4;8.4;355.3;22;11
20210511;1200;-3.1;4.6;5.6;325.5;22;11
20210512;1200;-4.3;0.6;4.4;277.4;22;11
20210513;1200;-2.2;-0.5;2.3;257.3;22;11
20210514;1200;0.3;5.9;5.9;2.6;22;11
20210515;1200;-2.1;6.7;7.0;342.5;22;11
20210516;1200;-2.5;5.7;6.2;336.0;22;11
20210517;1200;-2.0;4.9;5.3;338.2;22;11
20210518;1200;0.2;1.0;1.0;9.7;22;11
20210519;1200;1.4;1.8;2.3;37.0;22;11
20210520;1200;0.9;0.7;1.1;52.0;22;11
20210521;1200;-0.8;-0.9;1.2;219.4;22;11
20210522;1200;-2.4;-2.0;3.1;230.1;22;11
20210523;1200;-1.8;-2.7;3.2;214.4;22;11
20210524;1200;2.2;-7.3;7.6;163.5;22;11
20210525;1200;2.4;-1.6;2.8;123.5;22;11
20210526;1200;-3.1;4.4;5.4;325.1;22;11
20210527;1200;-3.0;-0.6;3.1;258.1;22;11
20210528;1200;-3.7;-0.5;3.7;262.4;22;11
20210529;1200;-5.8;-1.3;6.0;257.7;22;11
20210530;1200;-4.5;-1.5;4.7;251.0;22;11
20210531;1200;-6.2;1.0;6.3;279.2;22;11
20210601;1200;-4.6;-1.4;4.8;253.4;22;11
20210602;1200;-3.5;1.6;3.9;295.4;22;11
20210603;1200;-4.5;0.9;4.6;281.8;22;11
20210604;1200;-5.2;3.8;6.5;306.3;22;11
20210605;1200;-7.5;4.7;8.8;301.9;22;11
20210606;1200;-7.2;4.0;8.2;298.9;22;11
20210607;1200;-6.0;0.5;6.0;274.3;22;11
20210608;1200;-3.7;0.2;3.7;272.6;22;11
20210609;1200;-1.9;2.2;2.9;318.9;22;11
20210610;1200;-3.0;2.6;3.9;310.8;22;11
20210611;1200;-3.4;-1.1;3.6;252.7;22;11
20210612;1200;1.2;-2.7;3.0;156.0;22;11
20210613;1200;1.1;7.7;7.8;8.5;22;11
20210614;1200;0.4;7.0;7.0;3.3;22;11
20210615;1200;-0.6;3.9;3.9;351.5;22;11
20210616;1200;0.8;0.9;1.2;39.4;22;11
20210617;1200;2.4;3.3;4.1;35.5;22;11
20210618;1200;-1.0;4.7;4.8;348.3;22;11
20210619;1200;-3.9;7.4;8.4;331.9;22;11
20210620;1200;-6.3;1.8;6.6;286.0;22;11
20210621;1200;0.1;-3.8;3.8;178.4;22;11
20210622;1200;4.3;4.1;6.0;46.4;22;11
20210623;1200;3.2;6.9;7.6;25.2;22;11
20210624;1200;-1.6;7.1;7.3;347.0;22;11
20210625;1200;-5.4;5.7;7.8;316.6;22;11
20210626;1200;-5.2;4.9;7.2;313.0;22;11
20210627;1200;-5.7;4.9;7.5;310.8;22;11
