YYYYMMDD;HHMM;DYN;Q
20200101;1200;102.31;2
20200102;1200;102.74;2
20200103;1200;102.50;2
20200104;1200;101.97;2
20200105;1200;102.36;2
20200106;1200;102.27;2
20200107;1200;102.66;2
20200108;1200;101.78;2
20200109;1200;102.19;2
20200110;1200;101.47;2
20200111;1200;101.72;2
20200112;1200;101.81;2
20200113;1200;102.20;2
20200114;1200;101.76;2
20200115;1200;102.10;2
20200116;1200;102.20;2
20200117;1200;102.50;2
20200118;1200;102.51;2
20200119;1200;102.26;2
20200120;1200;102.51;2
20200121;1200;102.50;2
20200122;1200;102.58;2
20200123;1200;102.48;2
20200124;1200;102.66;2
20200125;1200;102.24;2
20200126;1200;102.54;2
20200127;1200;102.81;2
20200128;1200;102.78;2
20200129;1200;102.90;2
20200130;1200;102.26;2
20200131;1200;102.58;2
20200201;1200;102.46;2
20200202;1200;102.07;2
20200203;1200;102.16;2
20200204;1200;101.80;2
20200205;1200;101.29;2
20200206;1200;101.18;2
20200207;1200;101.02;2
20200208;1200;100.67;2
20200209;1200;100.38;2
20200210;1200;99.92;2
20200211;1200;100.57;2
20200212;1200;100.50;2
20200213;1200;101.15;2
20200214;1200;101.13;2
20200215;1200;101.61;2
20200216;1200;101.59;2
20200217;1200;101.42;2
20200218;1200;101.74;2
20200219;1200;101.41;2
20200220;1200;100.88;2
20200221;1200;101.01;2
20200222;1200;100.96;2
20200223;1200;100.84;2
20200224;1200;101.31;2
20200225;1200;100.98;2
20200226;1200;101.24;2
20200227;1200;100.78;2
20200228;1200;100.70;2
20200229;1200;100.26;2
20200301;1200;100.41;2
20200302;1200;100.15;2
20200303;1200;100.23;2
20200304;1200;100.58;2
20200305;1200;100.70;2
20200306;1200;101.12;2
20200307;1200;101.25;2
20200308;1200;101.41;2
20200309;1200;102.06;2
20200310;1200;102.44;2
20200311;1200;101.88;2
20200312;1200;102.24;2
20200313;1200;102.29;2
20200314;1200;102.67;2
20200315;1200;102.88;2
20200316;1200;103.10;2
20200317;1200;102.87;2
20200318;1200;103.15;2
20200319;1200;103.22;2
20200320;1200;103.04;2
20200321;1200;103.20;2
20200322;1200;102.89;2
20200323;1200;103.11;2
20200324;1200;102.66;2
20200325;1200;102.00;2
20200326;1200;101.86;2
20200327;1200;101.57;2
20200328;1200;101.95;2
20200329;1200;101.57;2
20200330;1200;101.38;2
20200331;1200;100.94;2
20200401;1200;100.48;2
20200402;1200;100.54;2
20200403;1200;100.28;2
20200404;1200;100.77;2
