YYYYMMDD;HHMM;SST;Q;S
20200309;1200;-9.99;0;0
20200310;1200;-9.99;0;0
20200311;1200;-9.99;0;0
20200312;1200;-9.99;0;0
20200313;1200;-9.99;0;0
20200314;1200;-9.99;0;0
20200315;1200;-9.99;0;0
20200316;1200;-9.99;0;0
20200317;1200;-9.99;0;0
20200318;1200;-9.99;0;0
20200319;1200;-9.99;0;0
20200320;1200;-9.99;0;0
20200321;1200;-9.99;0;0
20200322;1200;-9.99;0;0
20200323;1200;-9.99;0;0
20200324;1200;-9.99;0;0
20200325;1200;-9.99;0;0
20200326;1200;-9.99;0;0
20200327;1200;-9.99;0;0
20200328;1200;-9.99;0;0
20200329;1200;-9.99;0;0
20200330;1200;-9.99;0;0
20200331;1200;-9.99;0;0
20200401;1200;-9.99;0;0
20200402;1200;-9.99;0;0
20200403;1200;-9.99;0;0
20200404;1200;-9.99;0;0
20200405;1200;-9.99;0;0
20200406;1200;-9.99;0;0
20200407;1200;-9.99;0;0
20200408;1200;-9.99;0;0
20200409;1200;-9.99;0;0
20200410;1200;-9.99;0;0
20200411;1200;-9.99;0;0
20200412;1200;-9.99;0;0
20200413;1200;-9.99;0;0
20200414;1200;-9.99;0;0
20200415;1200;-9.99;0;0
20200416;1200;-9.99;0;0
20200417;1200;-9.99;0;0
20200418;1200;-9.99;0;0
20200419;1200;-9.99;0;0
20200420;1200;-9.99;0;0
20200421;1200;-9.99;0;0
20200422;1200;-9.99;0;0
20200423;1200;-9.99;0;0
20200424;1200;-9.99;0;0
20200425;1200;-9.99;0;0
20200426;1200;-9.99;0;0
20200427;1200;-9.99;0;0
20200428;1200;-9.99;0;0
20200429;1200;-9.99;0;0
20200430;1200;-9.99;0;0
20200501;1200;-9.99;0;0
20200502;1200;-9.99;0;0
20200503;1200;-9.99;0;0
20200504;1200;-9.99;0;0
20200505;1200;-9.99;0;0
20200506;1200;-9.99;0;0
20200507;1200;-9.99;0;0
20200508;1200;-9.99;0;0
20200509;1200;-9.99;0;0
20200510;1200;-9.99;0;0
20200511;1200;-9.99;0;0
20200512;1200;-9.99;0;0
20200513;1200;-9.99;0;0
20200514;1200;-9.99;0;0
20200515;1200;-9.99;0;0
20200516;1200;-9.99;0;0
20200517;1200;-9.99;0;0
20200518;1200;-9.99;0;0
20200519;1200;-9.99;0;0
20200520;1200;-9.99;0;0
20200521;1200;-9.99;0;0
20200522;1200;-9.99;0;0
20200523;1200;-9.99;0;0
20200524;1200;-9.99;0;0
20200525;1200;-9.99;0;0
20200526;1200;-9.99;0;0
20200527;1200;-9.99;0;0
20200528;1200;-9.99;0;0
20200529;1200;-9.99;0;0
20200530;1200;-9.99;0;0
20200531;1200;-9.99;0;0
20200601;1200;-9.99;0;0
20200602;1200;-9.99;0;0
20200603;1200;-9.99;0;0
20200604;1200;-9.99;0;0
20200605;1200;-9.99;0;0
20200606;1200;-9.99;0;0
20200607;1200;-9.99;0;0
20200608;1200;-9.99;0;0
20200609;1200;-9.99;0;0
20200610;1200;-9.99;0;0
20200611;1200;-9.99;0;0
20200612;1200;-9.99;0;0
20200613;1200;-9.99;0;0
20200614;1200;-9.99;0;0
20200615;1200;-9.99;0;0
20200616;1200;-9.99;0;0
20200617;1200;-9.99;0;0
20200618;1200;-9.99;0;0
20200619;1200;-9.99;0;0
20200620;1200;-9.99;0;0
20200621;1200;-9.99;0;0
20200622;1200;-9.99;0;0
20200623;1200;-9.99;0;0
20200624;1200;-9.99;0;0
20200625;1200;-9.99;0;0
20200626;1200;-9.99;0;0
20200627;1200;-9.99;0;0
20200628;1200;-9.99;0;0
20200629;1200;-9.99;0;0
20200630;1200;-9.99;0;0
20200701;1200;-9.99;0;0
20200702;1200;-9.99;0;0
20200703;1200;-9.99;0;0
20200704;1200;-9.99;0;0
20200705;1200;-9.99;0;0
20200706;1200;-9.99;0;0
20200707;1200;-9.99;0;0
20200708;1200;-9.99;0;0
20200709;1200;-9.99;0;0
20200710;1200;-9.99;0;0
20200711;1200;-9.99;0;0
20200712;1200;-9.99;0;0
20200713;1200;-9.99;0;0
20200714;1200;-9.99;0;0
20200715;1200;-9.99;0;0
20200716;1200;-9.99;0;0
20200717;1200;-9.99;0;0
20200718;1200;-9.99;0;0
20200719;1200;-9.99;0;0
20200720;1200;-9.99;0;0
20200721;1200;-9.99;0;0
20200722;1200;-9.99;0;0
20200723;1200;-9.99;0;0
20200724;1200;-9.99;0;0
20200725;1200;-9.99;0;0
20200726;1200;-9.99;0;0
20200727;1200;-9.99;0;0
20200728;1200;-9.99;0;0
20200729;1200;-9.99;0;0
20200730;1200;-9.99;0;0
20200731;1200;-9.99;0;0
20200801;1200;-9.99;0;0
20200802;1200;-9.99;0;0
20200803;1200;-9.99;0;0
20200804;1200;-9.99;0;0
20200805;1200;-9.99;0;0
20200806;1200;-9.99;0;0
20200807;1200;-9.99;0;0
20200808;1200;-9.99;0;0
20200809;1200;-9.99;0;0
20200810;1200;-9.99;0;0
20200811;1200;-9.99;0;0
20200812;1200;-9.99;0;0
20200813;1200;-9.99;0;0
20200814;1200;-9.99;0;0
20200815;1200;-9.99;0;0
20200816;1200;-9.99;0;0
20200817;1200;-9.99;0;0
20200818;1200;-9.99;0;0
20200819;1200;-9.99;0;0
20200820;1200;-9.99;0;0
20200821;1200;-9.99;0;0
20200822;1200;-9.99;0;0
20200823;1200;-9.99;0;0
20200824;1200;-9.99;0;0
20200825;1200;-9.99;0;0
