YYYYMMDD;HHMM;SSS;ID;Q;S
20200101;1200;36.961;24;2;1
20200102;1200;36.957;24;2;1
20200103;1200;36.931;24;2;1
20200104;1200;36.928;24;2;1
20200105;1200;36.884;24;2;1
20200106;1200;36.848;24;2;1
20200107;1200;36.847;24;2;1
20200108;1200;36.872;24;2;1
20200109;1200;37.005;24;2;1
20200110;1200;37.235;24;2;1
20200111;1200;37.308;24;2;1
20200112;1200;37.322;24;2;1
20200113;1200;37.332;24;2;1
20200114;1200;37.354;24;2;1
20200115;1200;37.371;24;2;1
20200116;1200;37.379;24;2;1
20200117;1200;37.402;24;2;1
20200118;1200;37.435;24;2;1
20200119;1200;37.458;24;2;1
20200120;1200;37.444;24;2;1
20200121;1200;-9.999;24;2;1
20200122;1200;-9.999;24;2;1
20200123;1200;-9.999;24;2;1
20200124;1200;-9.999;24;2;1
20200125;1200;-9.999;24;2;1
20200126;1200;-9.999;24;2;1
20200127;1200;-9.999;24;2;1
20200128;1200;-9.999;24;2;1
20200129;1200;-9.999;24;2;1
20200130;1200;-9.999;24;2;1
20200131;1200;-9.999;24;2;1
20200201;1200;-9.999;24;2;1
20200202;1200;-9.999;24;2;1
20200203;1200;-9.999;24;2;1
20200204;1200;-9.999;24;2;1
20200205;1200;-9.999;24;2;1
20200206;1200;-9.999;24;2;1
20200207;1200;-9.999;24;2;1
20200208;1200;-9.999;24;2;1
20200209;1200;-9.999;24;2;1
20200210;1200;-9.999;24;2;1
20200211;1200;-9.999;24;2;1
20200212;1200;-9.999;24;2;1
20200213;1200;-9.999;24;2;1
20200214;1200;-9.999;24;2;1
20200215;1200;-9.999;24;2;1
20200216;1200;-9.999;24;2;1
20200217;1200;-9.999;24;2;1
20200218;1200;-9.999;24;2;1
20200219;1200;-9.999;24;2;1
20200220;1200;-9.999;24;2;1
20200221;1200;-9.999;24;2;1
20200222;1200;-9.999;24;2;1
20200223;1200;-9.999;24;2;1
20200224;1200;-9.999;24;2;1
20200225;1200;-9.999;24;2;1
20200226;1200;-9.999;24;2;1
20200227;1200;-9.999;24;2;1
20200228;1200;-9.999;24;2;1
20200229;1200;-9.999;24;2;1
20200301;1200;-9.999;24;2;1
20200302;1200;-9.999;24;2;1
20200303;1200;-9.999;24;2;1
20200304;1200;-9.999;24;2;1
20200305;1200;-9.999;24;2;1
20200306;1200;36.692;24;2;1
20200307;1200;36.684;24;2;1
20200308;1200;36.657;24;2;1
20200309;1200;36.638;24;2;1
20200310;1200;36.633;24;2;1
20200311;1200;36.617;24;2;1
20200312;1200;36.592;24;2;1
20200313;1200;36.587;24;2;1
20200314;1200;36.586;24;2;1
20200315;1200;36.600;24;2;1
20200316;1200;36.586;24;2;1
20200317;1200;36.552;24;2;1
20200318;1200;36.521;24;2;1
20200319;1200;36.519;24;2;1
20200320;1200;36.519;24;2;1
20200321;1200;36.517;24;2;1
20200322;1200;36.510;24;2;1
20200323;1200;36.481;24;2;1
20200324;1200;36.478;24;2;1
20200325;1200;36.491;24;2;1
20200326;1200;36.498;24;2;1
20200327;1200;36.514;24;2;1
20200328;1200;36.521;24;2;1
20200329;1200;36.528;24;2;1
20200330;1200;36.534;24;2;1
20200331;1200;36.528;24;2;1
20200401;1200;36.528;24;2;1
20200402;1200;36.524;24;2;1
20200403;1200;36.525;24;2;1
20200404;1200;36.527;24;2;1
20200405;1200;36.532;24;2;1
20200406;1200;36.542;24;2;1
20200407;1200;36.549;24;2;1
20200408;1200;36.557;24;2;1
20200409;1200;36.560;24;2;1
20200410;1200;36.559;24;2;1
20200411;1200;36.558;24;2;1
20200412;1200;36.556;24;2;1
20200413;1200;36.553;24;2;1
20200414;1200;36.554;24;2;1
20200415;1200;36.557;24;2;1
20200416;1200;36.562;24;2;1
20200417;1200;36.564;24;2;1
20200418;1200;36.574;24;2;1
20200419;1200;36.577;24;2;1
20200420;1200;36.585;24;2;1
20200421;1200;36.578;24;2;1
20200422;1200;36.580;24;2;1
20200423;1200;36.578;24;2;1
20200424;1200;36.585;24;2;1
20200425;1200;36.599;24;2;1
20200426;1200;36.621;24;2;1
20200427;1200;36.632;24;2;1
20200428;1200;36.615;24;2;1
20200429;1200;36.616;24;2;1
20200430;1200;36.617;24;2;1
20200501;1200;36.608;24;2;1
20200502;1200;36.611;24;2;1
20200503;1200;36.630;24;2;1
20200504;1200;36.633;24;2;1
20200505;1200;36.637;24;2;1
20200506;1200;36.642;24;2;1
20200507;1200;36.639;24;2;1
20200508;1200;36.632;24;2;1
20200509;1200;36.633;24;2;1
20200510;1200;36.642;24;2;1
20200511;1200;36.646;24;2;1
20200512;1200;36.656;24;2;1
20200513;1200;36.669;24;2;1
20200514;1200;36.704;24;2;1
20200515;1200;36.704;24;2;1
20200516;1200;36.699;24;2;1
20200517;1200;36.709;24;2;1
20200518;1200;36.702;24;2;1
20200519;1200;36.690;24;2;1
20200520;1200;36.693;24;2;1
20200521;1200;36.684;24;2;1
20200522;1200;36.660;24;2;1
20200523;1200;36.626;24;2;1
20200524;1200;36.652;24;2;1
20200525;1200;36.645;24;2;1
20200526;1200;36.635;24;2;1
20200527;1200;36.628;24;2;1
20200528;1200;36.636;24;2;1
20200529;1200;36.635;24;2;1
20200530;1200;36.631;24;2;1
20200531;1200;36.564;24;2;1
20200601;1200;36.600;24;2;1
20200602;1200;36.619;24;2;1
20200603;1200;36.663;24;2;1
20200604;1200;36.695;24;2;1
20200605;1200;36.705;24;2;1
