YYYYMMDD;HHMM;UWND;VWND;WSPD;WDIR;SD;SD
20200101;1200;-4.8;-2.8;5.5;239.7;22;11
20200102;1200;-4.3;-4.8;6.4;221.8;22;11
20200103;1200;-4.2;-5.4;6.8;217.9;22;11
20200104;1200;-4.3;-5.2;6.7;219.4;22;11
20200105;1200;-3.3;-5.0;6.0;213.4;22;11
20200106;1200;-3.8;-3.9;5.5;224.2;22;11
20200107;1200;-4.6;-1.8;4.9;248.4;22;11
20200108;1200;-4.2;-0.7;4.3;260.0;22;11
20200109;1200;-4.4;-0.8;4.5;259.4;22;11
20200110;1200;-4.5;-1.1;4.6;256.3;22;11
20200111;1200;-4.9;-2.4;5.5;243.9;22;11
20200112;1200;-4.0;-3.5;5.3;228.3;22;11
20200113;1200;0.9;-3.5;3.6;166.0;22;11
20200114;1200;2.0;-0.1;2.0;92.6;22;11
20200115;1200;-1.1;-0.2;1.1;260.0;22;11
20200116;1200;-3.4;-2.6;4.3;232.0;22;11
20200117;1200;-5.4;0.1;5.4;270.6;22;11
20200118;1200;-3.1;-1.4;3.4;246.0;22;11
20200119;1200;-4.5;-1.1;4.6;256.3;22;11
20200120;1200;-2.7;-2.1;3.5;232.0;22;11
20200121;1200;-1.5;-4.3;4.5;199.2;22;11
20200122;1200;-2.5;-5.3;5.9;205.2;22;11
20200123;1200;-5.5;-4.8;7.3;228.6;22;11
20200124;1200;-3.1;-6.4;7.1;205.6;22;11
20200125;1200;-2.0;-7.2;7.5;195.6;22;11
20200126;1200;0.5;-5.1;5.2;174.4;22;11
20200127;1200;-3.6;-3.0;4.7;230.7;22;11
20200128;1200;-3.6;-2.1;4.2;240.3;22;11
20200129;1200;-3.9;1.2;4.1;286.9;22;11
20200130;1200;-5.5;1.8;5.7;288.1;22;11
20200131;1200;-4.5;-0.4;4.5;264.4;22;11
20200201;1200;-2.8;-1.5;3.2;242.2;22;11
20200202;1200;-3.0;-1.6;3.4;242.4;22;11
20200203;1200;-3.2;-1.2;3.4;249.6;22;11
20200204;1200;-3.9;-0.4;4.0;264.4;22;11
20200205;1200;-3.8;1.5;4.1;291.0;22;11
20200206;1200;-2.3;2.0;3.1;311.2;22;11
20200207;1200;-2.0;1.3;2.4;302.3;22;11
20200208;1200;-0.6;-4.3;4.4;187.4;22;11
20200209;1200;-3.5;-2.7;4.5;232.6;22;11
20200210;1200;-0.9;-4.0;4.2;192.9;22;11
20200211;1200;-2.6;-4.3;5.0;211.0;22;11
20200212;1200;-4.5;-1.1;4.6;256.3;22;11
20200213;1200;-6.1;-0.3;6.1;267.4;22;11
20200214;1200;-5.2;0.6;5.2;276.6;22;11
20200215;1200;-4.9;-0.1;4.9;268.2;22;11
20200216;1200;-5.4;0.7;5.5;277.3;22;11
20200217;1200;-6.6;2.1;7.0;287.5;22;11
20200218;1200;-7.9;2.6;8.3;288.1;22;11
20200219;1200;-6.0;1.7;6.3;285.8;22;11
20200220;1200;-5.4;0.7;5.5;277.3;22;11
20200221;1200;-4.7;-1.9;5.1;248.3;22;11
20200222;1200;-3.2;-3.0;4.4;226.7;22;11
20200223;1200;-1.5;-3.8;4.1;201.0;22;11
20200224;1200;-1.8;-2.7;3.2;214.4;22;11
20200225;1200;-2.4;-1.5;2.8;237.2;22;11
20200226;1200;-3.9;-1.0;4.0;255.0;22;11
20200227;1200;-3.5;-3.8;5.1;222.5;22;11
20200228;1200;-3.1;-1.8;3.6;239.3;22;11
20200229;1200;-3.3;1.3;3.6;291.0;22;11
20200301;1200;-1.8;1.4;2.3;306.9;22;11
20200302;1200;-3.4;1.5;3.7;293.3;22;11
20200303;1200;-5.1;-1.1;5.2;257.3;22;11
20200304;1200;-4.7;-2.5;5.3;241.6;22;11
20200305;1200;-2.4;-4.2;4.8;209.6;22;11
20200306;1200;1.2;-1.5;1.9;142.0;22;11
20200307;1200;-1.3;4.0;4.2;341.7;22;11
20200308;1200;-3.4;5.5;6.5;328.9;22;11
20200309;1200;-3.4;-0.6;3.5;260.0;22;11
20200310;1200;-3.8;-0.3;3.8;265.4;22;11
20200311;1200;-2.4;0.4;2.4;279.7;22;11
20200312;1200;-3.6;2.5;4.4;304.6;22;11
20200313;1200;-3.2;2.0;3.8;302.3;22;11
20200314;1200;-4.6;2.4;5.2;297.3;22;11
