YYYYMMDD;HHMM;UWND;VWND;WSPD;WDIR;SD;SD
20190101;1200;-4.5;-0.2;4.5;267.8;22;11
20190102;1200;-3.8;-0.8;3.9;258.5;22;11
20190103;1200;-3.6;-0.7;3.7;259.2;22;11
20190104;1200;-3.5;-2.9;4.5;230.1;22;11
20190105;1200;-5.0;-1.5;5.2;252.8;22;11
20190106;1200;-4.9;0.3;4.9;273.6;22;11
20190107;1200;-5.5;1.3;5.7;283.7;22;11
20190108;1200;-4.6;2.7;5.3;300.5;22;11
20190109;1200;-4.8;2.1;5.2;294.2;22;11
20190110;1200;-5.2;1.5;5.4;286.4;22;11
20190111;1200;-3.6;2.0;4.2;299.1;22;11
20190112;1200;-3.7;1.6;4.0;293.1;22;11
20190113;1200;-3.8;1.8;4.2;295.1;22;11
20190114;1200;-3.7;1.6;4.0;293.1;22;11
20190115;1200;-4.2;0.2;4.2;272.6;22;11
20190116;1200;-4.3;-0.1;4.3;268.8;22;11
20190117;1200;-4.5;-0.2;4.5;267.8;22;11
20190118;1200;-4.2;0.7;4.2;278.9;22;11
20190119;1200;-3.7;0.0;3.7;269.6;22;11
20190120;1200;-3.9;-1.1;4.0;255.0;22;11
20190121;1200;-4.9;-0.1;4.9;268.2;22;11
20190122;1200;-4.9;0.3;4.9;273.6;22;11
20190123;1200;-4.4;0.1;4.4;271.4;22;11
20190124;1200;-4.5;0.0;4.5;270.2;22;11
20190125;1200;-3.5;1.0;3.6;286.2;22;11
20190126;1200;-5.1;-0.2;5.1;267.4;22;11
20190127;1200;-5.8;0.5;5.8;275.2;22;11
20190128;1200;-4.7;2.4;5.3;297.3;22;11
20190129;1200;-3.6;2.5;4.4;304.6;22;11
20190130;1200;-3.5;1.0;3.6;286.2;22;11
20190131;1200;-3.6;0.3;3.6;274.1;22;11
20190201;1200;-4.5;0.3;4.5;273.8;22;11
20190202;1200;-4.7;-0.3;4.7;266.9;22;11
20190203;1200;-3.0;-1.6;3.4;242.4;22;11
20190204;1200;0.3;-2.8;2.8;174.4;22;11
20190205;1200;0.0;-2.7;2.7;180.4;22;11
20190206;1200;0.0;-2.7;2.7;180.4;22;11
20190207;1200;-2.4;-2.5;3.5;224.2;22;11
20190208;1200;-3.8;-1.7;4.2;246.0;22;11
20190209;1200;-3.6;-2.1;4.2;240.3;22;11
20190210;1200;-4.1;-0.7;4.1;260.7;22;11
20190211;1200;-3.8;0.2;3.8;272.6;22;11
20190212;1200;-3.5;-1.6;3.8;246.0;22;11
20190213;1200;0.4;-2.9;3.0;173.1;22;11
20190214;1200;1.9;-2.7;3.3;144.7;22;11
20190215;1200;1.6;-0.6;1.7;111.0;22;11
20190216;1200;-0.2;-2.7;2.8;184.6;22;11
20190217;1200;-0.6;-3.8;3.8;189.7;22;11
20190218;1200;-2.2;-2.9;3.6;217.9;22;11
20190219;1200;-1.3;-2.0;2.4;212.3;22;11
20190220;1200;-0.7;-2.3;2.4;197.2;22;11
20190221;1200;-1.0;0.2;1.0;279.7;22;11
20190222;1200;-2.0;2.4;3.1;320.1;22;11
20190223;1200;-0.6;2.0;2.1;342.3;22;11
20190224;1200;-2.4;-0.6;2.5;256.3;22;11
20190225;1200;-1.4;-1.4;2.0;225.4;22;11
20190226;1200;-2.1;-1.7;2.7;232.0;22;11
20190227;1200;-2.2;-1.5;2.7;236.5;22;11
20190228;1200;-4.1;-2.5;4.8;238.6;22;11
20190301;1200;-4.3;-1.5;4.6;251.2;22;11
20190302;1200;-4.7;0.9;4.8;280.4;22;11
20190303;1200;-5.2;0.6;5.2;276.6;22;11
20190304;1200;-4.7;-1.2;4.8;255.9;22;11
20190305;1200;-3.7;1.6;4.0;293.1;22;11
20190306;1200;-3.5;2.3;4.2;303.1;22;11
20190307;1200;-3.9;2.1;4.5;298.6;22;11
20190308;1200;-4.4;-1.3;4.6;253.8;22;11
20190309;1200;-2.8;-0.3;2.8;264.4;22;11
20190310;1200;-2.3;1.4;2.7;301.0;22;11
20190311;1200;-2.8;-1.7;3.2;238.4;22;11
20190312;1200;-2.1;-1.7;2.7;232.0;22;11
20190313;1200;-2.7;-1.4;3.0;241.9;22;11
20190314;1200;-3.5;-2.0;4.0;240.0;22;11
20190315;1200;-1.9;-2.5;3.2;217.7;22;11
20190316;1200;-1.5;-1.7;2.2;222.0;22;11
20190317;1200;-1.1;-1.5;1.9;216.3;22;11
20190318;1200;1.2;-1.5;1.9;142.0;22;11
20190319;1200;2.1;-1.5;2.6;125.0;22;11
20190320;1200;1.5;-2.9;3.2;152.2;22;11
20190321;1200;2.7;-1.2;2.9;114.0;22;11
20190322;1200;-0.8;1.7;1.9;336.0;22;11
20190323;1200;-3.2;0.4;3.3;277.6;22;11
20190324;1200;-4.2;-2.3;4.8;241.0;22;11
20190325;1200;-5.2;-3.0;5.9;240.1;22;11
20190326;1200;-1.8;-3.8;4.2;205.1;22;11
20190327;1200;-1.2;-3.1;3.3;201.0;22;11
20190328;1200;-0.3;-0.8;0.9;201.0;22;11
20190329;1200;0.4;2.0;2.0;11.5;22;11
20190330;1200;-0.6;2.9;2.9;349.0;22;11
20190331;1200;-0.7;2.6;2.7;345.5;22;11
20190401;1200;-0.2;3.6;3.6;356.6;22;11
20190402;1200;1.4;2.8;3.1;26.7;22;11
20190403;1200;0.6;1.1;1.3;29.1;22;11
20190404;1200;-1.1;-0.2;1.1;260.0;22;11
20190405;1200;-3.3;-0.1;3.3;269.2;22;11
20190406;1200;-3.7;-1.4;4.0;249.0;22;11
20190407;1200;-3.7;-1.0;3.9;255.5;22;11
20190408;1200;-3.5;-0.4;3.6;263.4;22;11
20190409;1200;-2.9;-1.5;3.2;242.2;22;11
20190410;1200;-1.9;-1.8;2.6;226.0;22;11
20190411;1200;-1.3;-0.8;1.5;236.5;22;11
20190412;1200;-0.6;-0.9;1.0;212.3;22;11
20190413;1200;-1.8;-1.1;2.1;239.7;22;11
20190414;1200;-2.6;-0.7;2.7;255.5;22;11
20190415;1200;-3.0;0.8;3.1;285.3;22;11
20190416;1200;-3.3;1.1;3.5;288.5;22;11
20190417;1200;-2.4;-1.6;2.9;237.2;22;11
20190418;1200;-2.0;-1.9;2.8;227.6;22;11
20190419;1200;-2.3;-3.1;3.9;216.6;22;11
20190420;1200;-3.0;-1.6;3.4;242.4;22;11
20190421;1200;0.0;-2.2;2.2;180.0;22;11
20190422;1200;-2.7;-1.0;2.9;250.4;22;11
20190423;1200;-4.4;0.1;4.4;271.4;22;11
20190424;1200;-4.3;2.6;5.0;301.0;22;11
20190425;1200;-4.8;1.7;5.1;289.4;22;11
20190426;1200;-4.2;1.1;4.3;285.1;22;11
20190427;1200;-3.2;1.4;3.5;293.5;22;11
20190428;1200;-1.6;-1.5;2.2;227.6;22;11
20190429;1200;2.0;-3.5;4.0;150.0;22;11
20190430;1200;2.1;0.4;2.1;78.5;22;11
20190501;1200;-3.1;4.0;5.1;322.0;22;11
20190502;1200;-2.3;2.0;3.1;311.2;22;11
20190503;1200;-3.1;2.8;4.1;312.0;22;11
20190504;1200;-2.9;1.8;3.4;301.3;22;11
20190505;1200;-3.4;1.5;3.7;293.3;22;11
20190506;1200;-3.2;-0.7;3.3;257.3;22;11
20190507;1200;1.1;-2.4;2.6;156.0;22;11
20190508;1200;1.6;2.4;2.9;33.5;22;11
20190509;1200;-3.0;5.3;6.1;330.3;22;11
20190510;1200;-4.0;4.0;5.7;315.0;22;11
20190511;1200;-5.0;2.1;5.4;292.6;22;11
20190512;1200;-5.4;1.2;5.6;282.0;22;11
20190513;1200;-3.6;0.9;3.8;284.2;22;11
20190514;1200;-1.5;1.8;2.4;319.3;22;11
20190515;1200;-1.1;0.6;1.3;299.1;22;11
20190516;1200;-2.7;0.7;2.8;284.7;22;11
20190517;1200;-2.7;0.2;2.8;274.6;22;11
20190518;1200;-4.4;0.6;4.4;277.4;22;11
20190519;1200;-5.0;0.7;5.1;277.8;22;11
20190520;1200;-0.1;-3.5;3.5;181.0;22;11
20190521;1200;-1.0;-1.7;2.0;210.5;22;11
20190522;1200;1.1;1.1;1.6;47.6;22;11
20190523;1200;-1.5;2.9;3.2;332.2;22;11
20190524;1200;-2.1;1.5;2.6;305.0;22;11
20190525;1200;-1.5;-3.9;4.2;201.0;22;11
20190526;1200;-1.2;-2.7;2.9;204.0;22;11
20190527;1200;-2.3;0.2;2.3;275.1;22;11
20190528;1200;-4.8;0.6;4.8;277.0;22;11
20190529;1200;-4.1;-0.5;4.2;263.5;22;11
20190530;1200;-2.7;-0.5;2.7;260.0;22;11
20190531;1200;-3.7;-2.8;4.7;233.2;22;11
20190601;1200;-2.1;-3.9;4.5;208.6;22;11
20190602;1200;-2.4;-2.5;3.5;224.2;22;11
20190603;1200;-3.7;-2.8;4.7;233.2;22;11
20190604;1200;-0.4;-4.3;4.3;185.1;22;11
20190605;1200;0.4;6.6;6.6;3.4;22;11
20190606;1200;-2.8;6.7;7.2;337.6;22;11
20190607;1200;-5.3;5.5;7.7;316.1;22;11
20190608;1200;-4.8;1.2;5.0;284.3;22;11
20190609;1200;-3.1;0.5;3.1;279.7;22;11
20190610;1200;-6.3;4.2;7.6;304.0;22;11
20190611;1200;-7.2;2.3;7.5;287.8;22;11
20190612;1200;-6.3;1.8;6.6;286.0;22;11
20190613;1200;-6.7;2.1;7.0;287.5;22;11
20190614;1200;-5.5;2.2;5.9;292.4;22;11
20190615;1200;-5.8;2.5;6.3;293.6;22;11
20190616;1200;-4.8;3.7;6.0;307.7;22;11
20190617;1200;-3.8;3.9;5.4;316.2;22;11
20190618;1200;-3.4;3.7;5.0;316.8;22;11
20190619;1200;-4.2;2.9;5.1;304.2;22;11
20190620;1200;-4.1;1.6;4.4;291.0;22;11
20190621;1200;-3.3;4.4;5.5;323.0;22;11
20190622;1200;-5.5;4.4;7.0;308.7;22;11
20190623;1200;-5.6;3.1;6.4;298.8;22;11
20190624;1200;-2.6;0.3;2.6;277.0;22;11
20190625;1200;-3.2;-0.7;3.3;257.3;22;11
20190626;1200;-4.1;0.0;4.1;270.0;22;11
20190627;1200;-4.9;-0.1;4.9;268.2;22;11
20190628;1200;-5.4;2.7;6.1;296.4;22;11
20190629;1200;-6.2;3.0;6.9;295.8;22;11
