YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20190101;1200;0.00;0.60;0.00;2;1
20190102;1200;-0.04;0.21;0.00;2;1
20190103;1200;0.00;0.21;0.00;2;1
20190104;1200;-0.04;0.21;0.00;2;1
20190105;1200;-0.04;0.21;0.00;2;1
20190106;1200;-0.04;0.21;0.00;2;1
20190107;1200;-0.04;0.21;0.00;2;1
20190108;1200;0.00;0.26;1.00;2;1
20190109;1200;0.00;0.21;0.00;2;1
20190110;1200;0.00;0.21;0.00;2;1
20190111;1200;0.04;1.68;2.00;2;1
20190112;1200;0.00;0.21;0.00;2;1
20190113;1200;-0.04;0.21;0.00;2;1
20190114;1200;-0.04;0.21;0.00;2;1
20190115;1200;-0.04;0.21;0.00;2;1
20190116;1200;0.13;2.19;1.00;2;1
20190117;1200;-0.04;0.21;0.00;2;1
20190118;1200;-0.04;0.21;0.00;2;1
20190119;1200;0.00;0.21;0.00;2;1
20190120;1200;0.00;0.21;0.00;2;1
20190121;1200;0.00;0.60;1.00;2;1
20190122;1200;-0.04;0.21;0.00;2;1
20190123;1200;0.26;3.01;3.00;2;1
20190124;1200;0.00;0.30;0.00;2;1
20190125;1200;0.04;1.16;1.00;2;1
20190126;1200;-0.04;0.21;0.00;2;1
20190127;1200;0.13;1.98;2.00;2;1
20190128;1200;-0.04;0.21;0.00;2;1
20190129;1200;-0.04;0.26;0.00;2;1
20190130;1200;0.00;0.21;0.00;2;1
20190131;1200;-0.04;0.26;0.00;2;1
20190201;1200;-0.04;0.21;0.00;2;1
20190202;1200;0.00;0.90;0.00;2;1
20190203;1200;0.00;0.21;0.00;2;1
20190204;1200;0.13;1.12;4.00;2;1
20190205;1200;0.00;0.26;0.00;2;1
20190206;1200;0.00;0.26;0.00;2;1
20190207;1200;0.00;0.26;0.00;2;1
20190208;1200;0.00;0.26;1.00;2;1
20190209;1200;-0.04;0.21;0.00;2;1
20190210;1200;-0.04;0.21;0.00;2;1
20190211;1200;0.00;0.21;0.00;2;1
20190212;1200;-0.04;0.21;0.00;2;1
20190213;1200;-0.04;0.21;0.00;2;1
20190214;1200;0.56;7.31;2.00;2;1
20190215;1200;-0.04;0.30;1.00;2;1
20190216;1200;-0.04;0.30;0.00;2;1
20190217;1200;-0.04;0.30;0.00;2;1
20190218;1200;-0.04;0.26;0.00;2;1
20190219;1200;0.00;0.34;2.00;2;1
20190220;1200;0.00;0.30;0.00;2;1
20190221;1200;0.00;0.26;0.00;2;1
20190222;1200;0.00;0.26;0.00;2;1
20190223;1200;0.04;3.31;1.00;2;1
20190224;1200;0.00;0.26;0.00;2;1
20190225;1200;0.00;0.26;0.00;2;1
20190226;1200;0.00;0.26;0.00;2;1
20190227;1200;0.00;0.26;0.00;2;1
20190228;1200;-0.04;0.26;0.00;2;1
20190301;1200;-0.04;0.21;0.00;2;1
20190302;1200;-0.04;0.21;0.00;2;1
20190303;1200;-0.04;0.21;0.00;2;1
20190304;1200;0.34;3.61;4.00;2;1
20190305;1200;-0.04;0.30;0.00;2;1
20190306;1200;-0.04;0.30;0.00;2;1
20190307;1200;0.00;0.30;0.00;2;1
20190308;1200;-0.04;0.34;1.00;2;1
20190309;1200;0.00;0.26;0.00;2;1
20190310;1200;0.04;1.38;1.00;2;1
20190311;1200;0.00;0.30;1.00;2;1
20190312;1200;0.00;0.26;0.00;2;1
20190313;1200;0.09;2.11;3.00;2;1
20190314;1200;-0.04;0.30;0.00;2;1
20190315;1200;-0.04;0.26;0.00;2;1
20190316;1200;0.00;0.26;0.00;2;1
20190317;1200;0.04;0.99;2.00;2;1
20190318;1200;0.00;0.30;0.00;2;1
20190319;1200;-0.04;0.30;0.00;2;1
20190320;1200;-0.04;0.26;0.00;2;1
20190321;1200;1.12;6.10;21.00;2;1
20190322;1200;0.30;1.93;9.00;2;1
20190323;1200;3.09;10.88;18.00;2;1
20190324;1200;4.17;10.02;65.00;2;1
20190325;1200;0.09;1.46;5.00;2;1
20190326;1200;0.21;5.33;2.00;2;1
20190327;1200;0.00;0.21;0.00;2;1
20190328;1200;0.00;0.13;0.00;2;1
20190329;1200;0.00;0.17;0.00;2;1
20190330;1200;0.00;0.13;0.00;2;1
20190331;1200;0.00;0.13;0.00;2;1
20190401;1200;0.00;0.17;0.00;2;1
20190402;1200;0.00;0.17;0.00;2;1
20190403;1200;0.00;0.13;0.00;2;1
20190404;1200;0.00;0.09;0.00;2;1
20190405;1200;0.00;0.17;0.00;2;1
20190406;1200;0.00;0.39;1.00;2;1
20190407;1200;0.00;0.13;0.00;2;1
20190408;1200;0.17;1.42;3.00;2;1
20190409;1200;0.00;0.21;0.00;2;1
20190410;1200;0.00;0.17;0.00;2;1
20190411;1200;0.00;0.17;0.00;2;1
20190412;1200;0.00;0.13;0.00;2;1
20190413;1200;0.00;0.13;0.00;2;1
20190414;1200;0.09;0.82;2.00;2;1
20190415;1200;0.00;0.34;1.00;2;1
20190416;1200;0.04;0.82;1.00;2;1
20190417;1200;0.00;0.17;0.00;2;1
20190418;1200;1.72;7.87;10.00;2;1
20190419;1200;0.43;5.55;4.00;2;1
20190420;1200;0.77;6.23;7.00;2;1
20190421;1200;0.00;0.26;0.00;2;1
20190422;1200;0.00;0.26;0.00;2;1
20190423;1200;0.00;2.67;1.00;2;1
20190424;1200;0.04;2.24;1.00;2;1
20190425;1200;0.00;4.34;1.00;2;1
