YYYYMMDD;HHMM;SST;Q;S
20190101;1200;27.53;2;1
20190102;1200;27.80;2;1
20190103;1200;27.78;2;1
20190104;1200;27.77;2;1
20190105;1200;27.79;2;1
20190106;1200;27.84;2;1
20190107;1200;27.79;2;1
20190108;1200;27.71;2;1
20190109;1200;27.70;2;1
20190110;1200;27.70;2;1
20190111;1200;27.72;2;1
20190112;1200;27.79;2;1
20190113;1200;27.89;2;1
20190114;1200;27.97;2;1
20190115;1200;27.99;2;1
20190116;1200;27.98;2;1
20190117;1200;28.00;2;1
20190118;1200;28.09;2;1
20190119;1200;28.23;2;1
20190120;1200;28.12;2;1
20190121;1200;28.09;2;1
20190122;1200;28.13;2;1
20190123;1200;28.19;2;1
20190124;1200;28.26;2;1
20190125;1200;28.46;2;1
20190126;1200;28.27;2;1
20190127;1200;28.23;2;1
20190128;1200;28.30;2;1
20190129;1200;28.34;2;1
20190130;1200;28.57;2;1
20190131;1200;28.66;2;1
20190201;1200;28.58;2;1
20190202;1200;28.64;2;1
20190203;1200;28.85;2;1
20190204;1200;28.77;2;1
20190205;1200;28.85;2;1
20190206;1200;28.98;2;1
20190207;1200;29.01;2;1
20190208;1200;28.86;2;1
20190209;1200;28.92;2;1
20190210;1200;29.02;2;1
20190211;1200;29.14;2;1
20190212;1200;29.08;2;1
20190213;1200;28.99;2;1
20190214;1200;28.95;2;1
20190215;1200;29.03;2;1
20190216;1200;29.06;2;1
20190217;1200;29.04;2;1
20190218;1200;29.12;2;1
20190219;1200;29.41;2;1
20190220;1200;29.51;2;1
20190221;1200;29.78;2;1
20190222;1200;29.80;2;1
20190223;1200;30.04;2;1
20190224;1200;29.80;2;1
20190225;1200;30.18;2;1
20190226;1200;30.12;2;1
20190227;1200;30.09;2;1
20190228;1200;29.89;2;1
20190301;1200;29.86;2;1
20190302;1200;29.78;2;1
20190303;1200;29.66;2;1
20190304;1200;29.59;2;1
20190305;1200;29.61;2;1
20190306;1200;29.54;2;1
20190307;1200;29.52;2;1
20190308;1200;29.50;2;1
20190309;1200;29.82;2;1
20190310;1200;30.00;2;1
20190311;1200;29.72;2;1
20190312;1200;29.86;2;1
20190313;1200;29.88;2;1
20190314;1200;29.76;2;1
20190315;1200;29.73;2;1
20190316;1200;29.90;2;1
20190317;1200;30.00;2;1
20190318;1200;29.99;2;1
20190319;1200;29.96;2;1
20190320;1200;29.86;2;1
20190321;1200;29.79;2;1
20190322;1200;30.08;2;1
20190323;1200;29.72;2;1
20190324;1200;29.48;2;1
20190325;1200;29.42;2;1
20190326;1200;29.45;2;1
20190327;1200;29.51;2;1
20190328;1200;29.91;2;1
20190329;1200;29.77;2;1
20190330;1200;29.67;2;1
20190331;1200;29.75;2;1
20190401;1200;29.52;2;1
20190402;1200;29.49;2;1
20190403;1200;29.61;2;1
20190404;1200;29.68;2;1
20190405;1200;29.55;2;1
20190406;1200;29.44;2;1
20190407;1200;29.43;2;1
20190408;1200;29.42;2;1
20190409;1200;29.49;2;1
20190410;1200;29.52;2;1
20190411;1200;29.43;2;1
20190412;1200;29.62;2;1
20190413;1200;29.53;2;1
20190414;1200;29.51;2;1
20190415;1200;29.59;2;1
20190416;1200;29.50;2;1
20190417;1200;29.49;2;1
20190418;1200;29.39;2;1
20190419;1200;29.32;2;1
20190420;1200;29.32;2;1
20190421;1200;29.49;2;1
20190422;1200;29.41;2;1
20190423;1200;29.41;2;1
20190424;1200;29.34;2;1
20190425;1200;29.28;2;1
20190426;1200;29.28;2;1
20190427;1200;29.28;2;1
20190428;1200;29.36;2;1
20190429;1200;29.20;2;1
20190430;1200;29.17;2;1
20190501;1200;29.06;2;1
20190502;1200;29.14;2;1
20190503;1200;29.01;2;1
20190504;1200;29.01;2;1
20190505;1200;28.95;2;1
20190506;1200;28.88;2;1
20190507;1200;28.81;2;1
20190508;1200;28.68;2;1
20190509;1200;28.57;2;1
20190510;1200;28.41;2;1
20190511;1200;28.19;2;1
20190512;1200;28.14;2;1
20190513;1200;28.21;2;1
20190514;1200;28.37;2;1
20190515;1200;28.44;2;1
20190516;1200;28.23;2;1
20190517;1200;28.17;2;1
20190518;1200;28.09;2;1
20190519;1200;28.02;2;1
20190520;1200;28.08;2;1
20190521;1200;28.10;2;1
20190522;1200;27.99;2;1
20190523;1200;27.88;2;1
20190524;1200;27.85;2;1
20190525;1200;27.81;2;1
20190526;1200;27.86;2;1
20190527;1200;27.87;2;1
20190528;1200;27.79;2;1
20190529;1200;27.94;2;1
20190530;1200;27.85;2;1
20190531;1200;27.82;2;1
20190601;1200;27.83;2;1
20190602;1200;27.88;2;1
20190603;1200;27.81;2;1
20190604;1200;27.81;2;1
20190605;1200;27.85;2;1
20190606;1200;27.67;2;1
20190607;1200;27.37;2;1
20190608;1200;27.26;2;1
20190609;1200;27.15;2;1
20190610;1200;26.99;2;1
20190611;1200;26.89;2;1
20190612;1200;26.86;2;1
20190613;1200;26.73;2;1
20190614;1200;26.69;2;1
20190615;1200;26.59;2;1
20190616;1200;26.57;2;1
20190617;1200;26.57;2;1
20190618;1200;26.51;2;1
20190619;1200;26.50;2;1
20190620;1200;26.49;2;1
20190621;1200;26.46;2;1
20190622;1200;26.41;2;1
20190623;1200;26.34;2;1
20190624;1200;26.42;2;1
20190625;1200;26.28;2;1
20190626;1200;26.27;2;1
20190627;1200;26.24;2;1
20190628;1200;26.23;2;1
20190629;1200;26.26;2;1
20190630;1200;26.43;2;1
20190701;1200;26.54;2;1
20190702;1200;26.56;2;1
20190703;1200;26.54;2;1
20190704;1200;26.52;2;1
20190705;1200;26.57;2;1
20190706;1200;26.59;2;1
20190707;1200;26.51;2;1
20190708;1200;26.37;2;1
20190709;1200;26.20;2;1
20190710;1200;26.02;2;1
20190711;1200;25.91;2;1
20190712;1200;25.90;2;1
20190713;1200;25.89;2;1
20190714;1200;25.88;2;1
20190715;1200;26.08;2;1
20190716;1200;25.92;2;1
20190717;1200;25.84;2;1
20190718;1200;25.67;2;1
20190719;1200;25.56;2;1
20190720;1200;25.50;2;1
20190721;1200;25.21;2;1
20190722;1200;25.15;2;1
20190723;1200;25.06;2;1
20190724;1200;24.90;2;1
20190725;1200;24.87;2;1
20190726;1200;24.85;2;1
20190727;1200;25.00;2;1
20190728;1200;24.94;2;1
20190729;1200;24.87;2;1
20190730;1200;24.80;2;1
20190731;1200;24.87;2;1
20190801;1200;24.91;2;1
20190802;1200;24.82;2;1
20190803;1200;24.81;2;1
20190804;1200;24.78;2;1
20190805;1200;24.78;2;1
20190806;1200;24.73;2;1
20190807;1200;24.67;2;1
20190808;1200;24.59;2;1
20190809;1200;24.47;2;1
20190810;1200;24.43;2;1
20190811;1200;24.44;2;1
20190812;1200;24.49;2;1
20190813;1200;24.47;2;1
20190814;1200;24.51;2;1
20190815;1200;24.29;2;1
20190816;1200;24.19;2;1
20190817;1200;24.17;2;1
20190818;1200;24.18;2;1
20190819;1200;24.29;2;1
20190820;1200;24.39;2;1
20190821;1200;24.46;2;1
20190822;1200;24.39;2;1
20190823;1200;24.31;2;1
20190824;1200;24.33;2;1
20190825;1200;24.39;2;1
20190826;1200;24.36;2;1
20190827;1200;24.37;2;1
20190828;1200;24.45;2;1
20190829;1200;24.64;2;1
20190830;1200;24.66;2;1
20190831;1200;24.71;2;1
20190901;1200;24.71;2;1
20190902;1200;24.74;2;1
20190903;1200;24.72;2;1
20190904;1200;24.73;2;1
20190905;1200;24.84;2;1
20190906;1200;24.62;2;1
20190907;1200;24.38;2;1
20190908;1200;24.33;2;1
20190909;1200;24.36;2;1
20190910;1200;24.36;2;1
20190911;1200;24.38;2;1
20190912;1200;24.44;2;1
20190913;1200;24.47;2;1
20190914;1200;24.66;2;1
20190915;1200;24.68;2;1
20190916;1200;24.60;2;1
20190917;1200;24.55;2;1
20190918;1200;24.57;2;1
20190919;1200;24.64;2;1
20190920;1200;24.89;2;1
20190921;1200;24.71;2;1
20190922;1200;24.75;2;1
20190923;1200;25.02;2;1
20190924;1200;24.52;2;1
20190925;1200;24.44;2;1
20190926;1200;24.50;2;1
20190927;1200;24.50;2;1
20190928;1200;24.77;2;1
20190929;1200;25.16;2;1
20190930;1200;24.90;2;1
20191001;1200;24.81;2;1
20191002;1200;24.73;2;1
20191003;1200;24.83;2;1
20191004;1200;24.91;2;1
20191005;1200;24.95;2;1
20191006;1200;24.99;2;1
20191007;1200;25.09;2;1
20191008;1200;25.18;2;1
20191009;1200;25.29;2;1
20191010;1200;25.35;2;1
20191011;1200;25.34;2;1
20191012;1200;25.35;2;1
20191013;1200;25.33;2;1
20191014;1200;25.37;2;1
20191015;1200;25.48;2;1
20191016;1200;25.50;2;1
20191017;1200;25.65;2;1
20191018;1200;25.73;2;1
20191019;1200;25.85;2;1
20191020;1200;25.87;2;1
20191021;1200;25.94;2;1
20191022;1200;25.84;2;1
20191023;1200;25.80;2;1
20191024;1200;25.76;2;1
20191025;1200;25.85;0;0
20191026;1200;25.93;0;0
20191027;1200;26.01;4;1
20191028;1200;25.98;4;1
20191029;1200;25.96;4;1
20191030;1200;25.99;4;1
20191031;1200;26.13;4;1
20191101;1200;26.48;4;1
20191102;1200;26.16;4;1
20191103;1200;25.89;4;1
20191104;1200;25.97;4;1
20191105;1200;26.09;4;1
20191106;1200;26.18;4;1
20191107;1200;26.62;4;1
20191108;1200;26.88;4;1
20191109;1200;26.87;4;1
20191110;1200;26.76;4;1
20191111;1200;26.79;4;1
20191112;1200;27.08;4;1
20191113;1200;26.69;4;1
20191114;1200;26.55;4;1
20191115;1200;26.65;4;1
20191116;1200;26.61;4;1
20191117;1200;26.73;4;1
20191118;1200;26.92;4;1
20191119;1200;26.86;4;1
20191120;1200;26.98;4;1
20191121;1200;26.76;4;1
20191122;1200;26.79;4;1
20191123;1200;26.85;4;1
20191124;1200;26.90;4;1
20191125;1200;26.61;4;1
20191126;1200;26.54;4;1
20191127;1200;26.34;4;1
20191128;1200;26.40;4;1
20191129;1200;26.61;4;1
20191130;1200;26.63;4;1
20191201;1200;26.69;4;1
20191202;1200;26.73;4;1
20191203;1200;26.68;4;1
20191204;1200;26.62;4;1
20191205;1200;26.61;4;1
20191206;1200;26.64;4;1
20191207;1200;26.81;4;1
20191208;1200;27.23;4;1
20191209;1200;27.36;4;1
20191210;1200;27.26;4;1
20191211;1200;27.35;4;1
20191212;1200;27.27;4;1
20191213;1200;-9.99;2;1
20191214;1200;-9.99;2;1
20191215;1200;-9.99;2;1
20191216;1200;-9.99;2;1
20191217;1200;-9.99;2;1
20191218;1200;-9.99;2;1
20191219;1200;-9.99;2;1
20191220;1200;-9.99;2;1
20191221;1200;-9.99;2;1
20191222;1200;-9.99;2;1
20191223;1200;-9.99;2;1
20191224;1200;-9.99;2;1
20191225;1200;-9.99;2;1
20191226;1200;-9.99;2;1
20191227;1200;-9.99;2;1
20191228;1200;-9.99;2;1
20191229;1200;-9.99;2;1
20191230;1200;-9.99;2;1
20191231;1200;-9.99;2;1
