YYYYMMDD;HHMM;UWND;VWND;WSPD;WDIR;SD;SD
20220422;1200;-3.8;1.8;4.2;295.6;22;11
20220423;1200;-5.7;2.4;6.2;292.8;22;11
20220424;1200;-6.0;3.8;7.1;301.9;22;11
20220425;1200;-6.1;5.4;8.1;311.8;22;11
20220426;1200;-6.0;2.7;6.6;294.0;22;11
20220427;1200;-7.4;4.6;8.8;301.7;22;11
20220428;1200;-7.0;3.5;7.8;296.7;22;11
20220429;1200;-6.2;3.0;6.9;296.3;22;11
20220430;1200;-5.7;3.0;6.5;297.8;22;11
20220501;1200;-6.7;2.4;7.1;289.2;22;11
20220502;1200;-5.3;2.6;5.9;295.7;22;11
20220503;1200;-6.4;0.5;6.4;274.7;22;11
20220504;1200;-6.5;1.4;6.7;281.6;22;11
20220505;1200;-7.7;1.5;7.8;281.0;22;11
20220506;1200;-4.7;1.6;5.0;288.1;22;11
20220507;1200;-4.4;1.9;4.8;293.2;22;11
20220508;1200;-3.2;3.2;4.5;314.7;22;11
20220509;1200;-4.2;2.9;5.1;304.7;22;11
20220510;1200;-3.1;2.3;3.9;307.1;22;11
20220511;1200;-2.4;2.2;3.3;313.3;22;11
20220512;1200;-2.8;1.6;3.2;299.6;22;11
20220513;1200;-3.4;1.3;3.6;291.5;22;11
20220514;1200;-3.1;4.5;5.4;325.6;22;11
20220515;1200;-4.9;1.9;5.2;291.5;22;11
20220516;1200;-5.0;0.1;5.0;270.9;22;11
20220517;1200;-3.9;-1.0;4.1;255.5;22;11
20220518;1200;-4.3;-3.9;5.8;228.1;22;11
20220519;1200;-2.8;-6.7;7.3;202.6;22;11
20220520;1200;-0.8;3.4;3.5;347.1;22;11
20220521;1200;-3.0;3.7;4.8;320.7;22;11
20220522;1200;-4.5;3.6;5.8;308.5;22;11
20220523;1200;-4.8;3.2;5.8;304.0;22;11
20220524;1200;-6.8;3.8;7.8;299.4;22;11
20220525;1200;-7.5;3.6;8.4;295.8;22;11
20220526;1200;-6.7;2.1;7.0;287.5;22;11
20220527;1200;-6.8;2.3;7.2;288.7;22;11
20220528;1200;-7.3;0.5;7.3;274.0;22;11
20220529;1200;-6.3;-0.4;6.3;266.8;22;11
20220530;1200;-5.4;-1.1;5.5;259.0;22;11
20220531;1200;-3.2;-1.4;3.5;246.0;22;11
20220601;1200;-4.6;0.0;4.6;270.2;22;11
20220602;1200;-3.4;-0.1;3.4;269.2;22;11
20220603;1200;-1.4;0.6;1.6;291.0;22;11
20220604;1200;-2.6;6.4;6.9;337.7;22;11
20220605;1200;-3.6;6.1;7.1;329.5;22;11
20220606;1200;-5.7;3.3;6.5;299.8;22;11
20220607;1200;-4.2;0.0;4.2;270.0;22;11
20220608;1200;-1.6;-2.5;2.9;213.5;22;11
20220609;1200;-2.2;-0.4;2.2;258.5;22;11
20220610;1200;-3.1;-0.7;3.2;258.1;22;11
20220611;1200;-1.7;-2.7;3.2;212.3;22;11
20220612;1200;-0.3;-1.8;1.8;189.7;22;11
20220613;1200;1.2;3.2;3.4;21.0;22;11
20220614;1200;-0.6;6.8;6.9;355.0;22;11
20220615;1200;-3.1;4.3;5.3;324.7;22;11
20220616;1200;-4.7;1.8;5.0;291.0;22;11
20220617;1200;-4.7;0.7;4.7;278.3;22;11
20220618;1200;-3.3;-1.2;3.5;249.6;22;11
20220619;1200;-3.9;0.8;4.0;282.2;22;11
20220620;1200;-5.0;1.6;5.3;287.8;22;11
20220621;1200;-5.6;1.5;5.8;285.3;22;11
20220622;1200;-4.9;0.8;5.0;279.0;22;11
20220623;1200;-3.6;1.2;3.8;288.7;22;11
20220624;1200;-4.9;0.8;5.0;279.0;22;11
20220625;1200;-3.5;1.0;3.7;286.2;22;11
20220626;1200;0.5;3.1;3.2;9.7;22;11
20220627;1200;-2.4;7.7;8.1;343.1;22;11
20220628;1200;-4.5;3.6;5.8;308.5;22;11
20220629;1200;-4.4;1.1;4.5;283.4;22;11
20220630;1200;-3.5;-1.6;3.9;246.0;22;11
20220701;1200;-3.9;1.3;4.1;288.9;22;11
20220702;1200;-6.3;2.7;6.9;293.4;22;11
20220703;1200;-7.1;2.1;7.4;286.6;22;11
20220704;1200;-6.9;2.0;7.2;286.4;22;11
20220705;1200;-6.5;2.2;6.9;288.6;22;11
20220706;1200;-5.6;1.4;5.7;283.7;22;11
20220707;1200;-5.8;1.4;6.0;284.1;22;11
20220708;1200;-6.3;1.6;6.5;284.7;22;11
20220709;1200;-6.2;2.5;6.8;292.2;22;11
20220710;1200;-6.7;2.6;7.2;291.0;22;11
20220711;1200;-7.3;2.0;7.6;285.6;22;11
20220712;1200;-6.0;0.3;6.0;272.6;22;11
20220713;1200;-5.5;0.1;5.5;270.6;22;11
20220714;1200;-5.0;2.1;5.4;292.6;22;11
20220715;1200;-5.8;2.4;6.2;292.3;22;11
20220716;1200;-5.7;0.6;5.7;276.3;22;11
20220717;1200;-6.1;-0.5;6.1;265.6;22;11
20220718;1200;-6.3;0.6;6.3;275.1;22;11
20220719;1200;-6.5;2.2;6.9;288.6;22;11
20220720;1200;-4.2;1.6;4.5;291.0;22;11
20220721;1200;-5.1;1.8;5.4;289.4;22;11
20220722;1200;-4.8;2.2;5.3;294.2;22;11
20220723;1200;-4.9;1.9;5.3;291.0;22;11
20220724;1200;-5.6;2.5;6.1;293.7;22;11
20220725;1200;-5.3;2.8;6.0;297.9;22;11
20220726;1200;-4.9;2.8;5.6;300.0;22;11
20220727;1200;-5.1;2.4;5.7;295.4;22;11
20220728;1200;-4.7;0.7;4.7;278.3;22;11
20220729;1200;-4.3;-1.7;4.6;248.6;22;11
20220730;1200;-3.2;-3.3;4.5;224.2;22;11
20220731;1200;-1.9;0.8;2.1;291.0;22;11
20220801;1200;-2.4;3.2;4.0;323.5;22;11
20220802;1200;-3.1;1.5;3.4;296.2;22;11
20220803;1200;-3.0;2.6;4.0;310.8;22;11
20220804;1200;-3.6;1.7;4.0;295.4;22;11
20220805;1200;-4.2;-0.9;4.3;257.3;22;11
20220806;1200;-3.1;-1.1;3.3;249.8;22;11
20220807;1200;-3.0;-1.8;3.5;238.9;22;11
20220808;1200;-3.6;-2.3;4.3;237.5;22;11
20220809;1200;-3.0;-0.9;3.1;254.1;22;11
20220810;1200;-4.0;-2.3;4.6;240.8;22;11
20220811;1200;-2.2;-3.8;4.4;210.8;22;11
20220812;1200;-0.1;4.4;4.4;358.8;22;11
20220813;1200;-4.3;5.2;6.8;320.3;22;11
20220814;1200;-5.8;4.1;7.1;305.0;22;11
20220815;1200;-6.4;2.9;7.0;294.5;22;11
20220816;1200;-7.0;1.3;7.1;280.6;22;11
20220817;1200;-6.9;0.5;6.9;274.1;22;11
20220818;1200;-7.6;0.8;7.7;275.9;22;11
20220819;1200;-5.7;1.3;5.9;282.5;22;11
20220820;1200;-4.4;2.6;5.1;301.0;22;11
20220821;1200;-4.2;2.7;5.0;303.0;22;11
20220822;1200;-4.3;2.4;4.9;299.6;22;11
20220823;1200;-4.7;1.8;5.0;291.0;22;11
20220824;1200;-5.5;2.7;6.1;296.4;22;11
20220825;1200;-4.9;2.4;5.4;295.6;22;11
20220826;1200;-6.2;2.5;6.8;292.2;22;11
20220827;1200;-6.2;1.5;6.4;283.2;22;11
20220828;1200;-4.9;0.1;4.9;271.5;22;11
20220829;1200;-1.8;-0.3;1.9;261.9;22;11
20220830;1200;-3.2;7.8;8.4;337.4;22;11
20220831;1200;-5.3;6.0;8.0;318.5;22;11
20220901;1200;-5.7;3.7;6.8;303.3;22;11
20220902;1200;-5.6;2.0;6.0;289.6;22;11
20220903;1200;-4.9;0.8;5.0;279.0;22;11
20220904;1200;-3.2;-0.5;3.2;261.9;22;11
20220905;1200;-2.1;2.5;3.2;320.1;22;11
20220906;1200;-5.2;5.2;7.3;315.1;22;11
20220907;1200;-6.2;3.9;7.3;302.3;22;11
20220908;1200;-6.1;1.7;6.4;285.8;22;11
20220909;1200;-5.7;0.6;5.7;276.3;22;11
20220910;1200;-5.6;0.0;5.6;269.8;22;11
20220911;1200;-3.3;-1.2;3.5;249.6;22;11
20220912;1200;-2.8;0.2;2.8;274.6;22;11
20220913;1200;-4.5;0.3;4.5;273.8;22;11
20220914;1200;-4.3;-1.2;4.5;254.1;22;11
20220915;1200;-2.4;-1.3;2.8;241.2;22;11
20220916;1200;0.0;-0.9;0.9;182.6;22;11
20220917;1200;-2.4;0.7;2.5;287.2;22;11
20220918;1200;-1.8;4.5;4.8;338.5;22;11
20220919;1200;-1.1;2.9;3.1;340.1;22;11
20220920;1200;-3.1;-0.7;3.2;258.1;22;11
20220921;1200;-3.5;-1.6;3.9;246.0;22;11
20220922;1200;-5.1;-1.8;5.4;250.4;22;11
20220923;1200;-4.1;-3.4;5.4;230.4;22;11
20220924;1200;-3.1;-1.6;3.5;242.4;22;11
20220925;1200;-4.7;5.0;6.9;317.0;22;11
20220926;1200;-4.8;3.7;6.0;307.7;22;11
20220927;1200;-4.5;2.5;5.2;299.1;22;11
20220928;1200;-3.6;0.1;3.6;271.0;22;11
20220929;1200;-1.5;-2.2;2.7;215.0;22;11
20220930;1200;-2.8;3.8;4.7;323.2;22;11
20221001;1200;-4.2;4.8;6.4;319.3;22;11
20221002;1200;-4.1;0.8;4.1;280.5;22;11
20221003;1200;-4.3;-1.2;4.5;254.1;22;11
20221004;1200;-4.6;-2.9;5.4;237.2;22;11
20221005;1200;-3.2;-2.8;4.2;228.5;22;11
20221006;1200;-3.0;-1.8;3.5;238.9;22;11
20221007;1200;-4.4;-2.4;5.0;241.2;22;11
20221008;1200;-4.7;-3.2;5.7;235.5;22;11
20221009;1200;-5.9;-0.4;5.9;266.3;22;11
20221010;1200;-5.7;1.3;5.9;282.5;22;11
20221011;1200;-5.6;3.1;6.4;298.8;22;11
