YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20220401;1200;0.00;0.24;0.00;2;1
20220402;1200;0.14;0.86;3.00;2;1
20220403;1200;0.00;0.29;0.00;2;1
20220404;1200;0.00;0.19;0.00;2;1
20220405;1200;0.00;0.19;0.00;2;1
20220406;1200;0.00;0.14;0.00;2;1
20220407;1200;0.00;0.19;0.00;2;1
20220408;1200;0.00;0.14;0.00;2;1
20220409;1200;0.00;0.19;0.00;2;1
20220410;1200;0.00;0.19;0.00;2;1
20220411;1200;0.00;0.14;0.00;2;1
20220412;1200;0.00;0.14;0.00;2;1
20220413;1200;0.00;0.14;0.00;2;1
20220414;1200;0.00;0.14;0.00;2;1
20220415;1200;0.00;0.19;0.00;2;1
20220416;1200;0.05;0.52;1.00;2;1
20220417;1200;0.00;0.33;0.00;2;1
20220418;1200;0.29;2.28;2.00;2;1
20220419;1200;0.00;0.62;0.00;2;1
20220420;1200;0.00;0.29;0.00;2;1
20220421;1200;0.00;0.24;0.00;2;1
20220422;1200;0.00;0.24;0.00;2;1
20220423;1200;0.00;0.24;0.00;2;1
20220424;1200;0.05;0.76;1.00;2;1
20220425;1200;0.00;0.33;1.00;2;1
20220426;1200;0.00;0.38;0.00;2;1
20220427;1200;0.19;1.62;3.00;2;1
20220428;1200;0.05;0.67;1.00;2;1
20220429;1200;0.00;0.24;0.00;2;1
20220430;1200;0.00;0.24;0.00;2;1
20220501;1200;0.00;0.19;0.00;2;1
20220502;1200;0.14;1.14;3.00;2;1
20220503;1200;0.00;0.29;0.00;2;1
20220504;1200;0.00;0.29;0.00;2;1
20220505;1200;0.38;3.52;2.00;2;1
20220506;1200;0.05;0.71;2.00;2;1
20220507;1200;0.00;0.57;0.00;2;1
20220508;1200;-0.05;0.67;0.00;2;1
20220509;1200;0.00;0.24;0.00;2;1
20220510;1200;0.00;0.29;0.00;2;1
20220511;1200;-0.05;0.43;0.00;2;1
20220512;1200;0.00;0.43;0.00;2;1
20220513;1200;0.00;1.00;0.00;2;1
20220514;1200;0.19;1.71;4.00;2;1
20220515;1200;0.05;0.90;1.00;2;1
20220516;1200;0.00;0.19;0.00;2;1
20220517;1200;0.00;0.76;0.00;2;1
20220518;1200;0.00;0.19;0.00;2;1
20220519;1200;0.00;0.24;0.00;2;1
20220520;1200;-0.05;0.33;0.00;2;1
20220521;1200;0.00;0.22;0.00;2;1
20220522;1200;0.00;0.14;0.00;2;1
20220523;1200;0.00;0.33;1.00;2;1
20220524;1200;-0.04;0.14;0.00;2;1
20220525;1200;0.00;0.72;0.00;2;1
20220526;1200;0.00;0.14;0.00;2;1
20220527;1200;0.07;1.63;0.00;2;1
20220528;1200;0.00;0.14;0.00;2;1
20220529;1200;0.00;0.14;0.00;2;1
20220530;1200;0.00;0.14;0.00;2;1
20220531;1200;0.04;0.69;0.00;2;1
20220601;1200;0.00;0.11;0.00;2;1
20220602;1200;0.00;0.11;0.00;2;1
20220603;1200;0.00;0.11;0.00;2;1
20220604;1200;0.04;0.94;1.00;2;1
20220605;1200;0.00;0.36;1.00;2;1
20220606;1200;0.00;0.18;0.00;2;1
20220607;1200;0.00;0.11;0.00;2;1
20220608;1200;0.00;0.11;0.00;2;1
20220609;1200;0.00;0.11;0.00;2;1
20220610;1200;0.00;0.22;0.00;2;1
20220611;1200;0.00;0.11;0.00;2;1
20220612;1200;0.00;0.18;0.00;2;1
20220613;1200;0.00;0.18;0.00;2;1
20220614;1200;0.00;0.33;1.00;2;1
20220615;1200;0.00;0.14;0.00;2;1
20220616;1200;0.00;0.25;0.00;2;1
20220617;1200;0.04;0.47;1.00;2;1
20220618;1200;0.00;0.11;0.00;2;1
20220619;1200;0.00;0.07;0.00;2;1
20220620;1200;0.07;1.56;1.00;2;1
20220621;1200;0.00;0.29;1.00;2;1
20220622;1200;0.00;0.11;0.00;2;1
20220623;1200;0.11;1.59;1.00;2;1
20220624;1200;0.04;0.98;1.00;2;1
20220625;1200;0.00;0.14;0.00;2;1
20220626;1200;0.00;0.25;1.00;2;1
20220627;1200;-0.04;0.25;1.00;2;1
20220628;1200;-0.04;0.18;0.00;2;1
20220629;1200;-0.04;0.11;0.00;2;1
20220630;1200;0.00;0.11;0.00;2;1
20220701;1200;0.00;0.11;0.00;2;1
20220702;1200;-0.04;0.18;0.00;2;1
20220703;1200;0.04;0.65;1.00;2;1
20220704;1200;0.11;0.98;3.00;2;1
20220705;1200;0.00;0.47;1.00;2;1
20220706;1200;0.00;0.14;0.00;2;1
20220707;1200;0.00;0.29;0.00;2;1
20220708;1200;0.04;0.58;2.00;2;1
20220709;1200;0.00;0.29;1.00;2;1
20220710;1200;0.07;0.69;4.00;2;1
20220711;1200;0.00;0.18;0.00;2;1
20220712;1200;0.04;0.65;1.00;2;1
20220713;1200;0.07;0.94;1.00;2;1
20220714;1200;0.00;0.14;0.00;2;1
20220715;1200;0.00;0.18;0.00;2;1
20220716;1200;0.00;0.14;0.00;2;1
20220717;1200;0.00;0.14;0.00;2;1
20220718;1200;0.00;0.14;0.00;2;1
20220719;1200;0.18;1.59;3.00;2;1
20220720;1200;0.00;0.33;1.00;2;1
20220721;1200;0.07;0.51;3.00;2;1
20220722;1200;0.00;0.25;1.00;2;1
20220723;1200;0.00;0.22;0.00;2;1
20220724;1200;0.00;0.18;0.00;2;1
20220725;1200;0.00;0.47;0.00;2;1
20220726;1200;-0.04;0.18;0.00;2;1
20220727;1200;0.00;0.54;1.00;2;1
20220728;1200;0.00;0.14;0.00;2;1
20220729;1200;-0.04;0.14;0.00;2;1
20220730;1200;-0.04;0.22;0.00;2;1
20220731;1200;2.54;0.00;4.00;2;1
20220801;1200;0.00;0.18;1.00;2;1
20220802;1200;0.00;0.14;0.00;2;1
20220803;1200;0.00;0.14;0.00;2;1
20220804;1200;0.00;0.14;0.00;2;1
20220805;1200;0.00;0.14;0.00;2;1
20220806;1200;0.00;0.18;0.00;2;1
20220807;1200;0.00;0.14;0.00;2;1
20220808;1200;0.00;0.18;0.00;2;1
20220809;1200;0.00;0.18;0.00;2;1
20220810;1200;-0.04;0.18;0.00;2;1
20220811;1200;-0.04;0.25;1.00;2;1
20220812;1200;0.00;0.36;1.00;2;1
20220813;1200;0.00;0.18;0.00;2;1
20220814;1200;-0.04;0.94;3.00;2;1
20220815;1200;0.00;0.29;1.00;2;1
20220816;1200;-0.04;0.18;0.00;2;1
20220817;1200;-0.04;0.25;1.00;2;1
20220818;1200;0.04;0.83;2.00;2;1
20220819;1200;0.00;0.40;1.00;2;1
20220820;1200;0.00;0.18;0.00;2;1
20220821;1200;0.00;0.18;0.00;2;1
20220822;1200;-0.04;0.18;0.00;2;1
20220823;1200;-0.04;0.29;2.00;2;1
20220824;1200;0.00;0.40;4.00;2;1
20220825;1200;0.00;0.22;1.00;2;1
20220826;1200;0.00;0.22;0.00;2;1
20220827;1200;0.22;1.56;4.00;2;1
20220828;1200;0.00;0.18;0.00;2;1
20220829;1200;0.00;0.14;0.00;2;1
20220830;1200;0.22;2.39;4.00;2;1
20220831;1200;-0.04;0.33;2.00;2;1
20220901;1200;-0.04;0.25;0.00;2;1
20220902;1200;-0.04;0.29;1.00;2;1
20220903;1200;0.00;0.36;1.00;2;1
20220904;1200;0.11;1.16;4.00;2;1
20220905;1200;0.00;0.18;0.00;2;1
20220906;1200;0.00;0.22;0.00;2;1
20220907;1200;-0.04;0.22;0.00;2;1
20220908;1200;-0.04;0.22;0.00;2;1
20220909;1200;-0.04;0.22;0.00;2;1
20220910;1200;-0.04;0.22;0.00;2;1
20220911;1200;-0.04;0.22;0.00;2;1
20220912;1200;0.00;0.25;1.00;2;1
20220913;1200;0.00;0.25;2.00;2;1
20220914;1200;-0.04;0.18;0.00;2;1
20220915;1200;0.00;0.25;2.00;2;1
20220916;1200;0.00;0.29;3.00;2;1
20220917;1200;0.00;0.36;2.00;2;1
20220918;1200;0.00;0.14;0.00;2;1
20220919;1200;0.00;0.25;2.00;2;1
20220920;1200;0.00;0.14;0.00;2;1
20220921;1200;0.00;0.47;2.00;2;1
20220922;1200;-0.04;0.22;1.00;2;1
20220923;1200;-0.04;0.22;0.00;2;1
20220924;1200;0.07;0.40;4.00;2;1
20220925;1200;0.00;0.29;1.00;2;1
20220926;1200;0.00;0.18;0.00;2;1
20220927;1200;0.00;0.29;2.00;2;1
20220928;1200;0.00;0.22;1.00;2;1
20220929;1200;0.00;0.22;1.00;2;1
20220930;1200;0.33;2.32;7.00;2;1
20221001;1200;0.00;0.18;0.00;2;1
20221002;1200;0.00;0.29;1.00;2;1
20221003;1200;0.00;0.18;0.00;2;1
20221004;1200;0.00;0.14;0.00;2;1
20221005;1200;0.00;0.14;0.00;2;1
20221006;1200;0.00;0.14;0.00;2;1
20221007;1200;0.00;0.18;0.00;2;1
20221008;1200;0.00;0.18;0.00;2;1
20221009;1200;0.00;0.18;0.00;2;1
20221010;1200;-0.04;0.18;0.00;2;1
20221011;1200;-0.04;0.18;0.00;2;1
20221012;1200;-0.04;0.18;0.00;2;1
20221013;1200;-0.04;0.25;0.00;2;1
20221014;1200;-0.04;0.18;0.00;2;1
20221015;1200;0.00;0.22;0.00;2;1
20221016;1200;0.00;0.29;1.00;2;1
20221017;1200;0.00;0.18;0.00;2;1
20221018;1200;0.00;0.14;0.00;2;1
20221019;1200;0.14;1.12;2.00;2;1
20221020;1200;0.00;0.22;0.00;2;1
20221021;1200;0.07;1.45;1.00;2;1
20221022;1200;0.00;0.18;0.00;2;1
20221023;1200;0.00;0.14;0.00;2;1
20221024;1200;0.00;0.22;1.00;2;1
20221025;1200;0.11;1.38;2.00;2;1
20221026;1200;0.00;0.18;0.00;2;1
20221027;1200;0.00;0.18;0.00;2;1
20221028;1200;0.00;0.18;0.00;2;1
20221029;1200;0.00;0.18;0.00;2;1
20221030;1200;-0.04;0.18;0.00;2;1
20221031;1200;-0.04;0.18;0.00;2;1
20221101;1200;-0.04;0.18;0.00;2;1
20221102;1200;-0.04;0.18;0.00;2;1
20221103;1200;0.14;1.85;2.00;2;1
20221104;1200;3.44;7.68;60.00;2;1
20221105;1200;0.40;3.08;7.00;2;1
20221106;1200;0.25;1.41;9.00;2;1
20221107;1200;-0.04;0.25;1.00;2;1
20221108;1200;0.11;0.69;5.00;2;1
20221109;1200;0.58;2.10;20.00;2;1
20221110;1200;0.00;2.03;13.00;2;1
20221111;1200;0.00;3.77;14.00;2;1
20221112;1200;0.04;2.10;13.00;2;1
20221113;1200;0.00;3.84;21.00;2;1
20221114;1200;-0.04;5.14;20.00;2;1
20221115;1200;0.00;6.52;26.00;2;1
20221116;1200;0.04;10.58;37.00;2;1
20221117;1200;0.00;11.05;29.00;2;1
20221118;1200;0.54;5.18;15.00;2;1
20221119;1200;0.00;0.18;0.00;2;1
20221120;1200;0.00;0.22;1.00;2;1
20221121;1200;-0.04;0.33;3.00;2;1
20221122;1200;0.00;0.58;3.00;2;1
20221123;1200;0.04;0.87;2.00;2;1
20221124;1200;-0.04;0.25;1.00;2;1
20221125;1200;0.04;1.09;3.00;2;1
20221126;1200;0.00;0.29;2.00;2;1
20221127;1200;0.43;1.41;21.00;2;1
20221128;1200;0.51;2.64;13.00;2;1
20221129;1200;0.91;2.25;43.00;2;1
20221130;1200;0.62;1.78;23.00;2;1
20221201;1200;0.69;2.64;23.00;2;1
20221202;1200;-0.04;0.40;6.00;2;1
20221203;1200;-0.04;0.51;3.00;2;1
20221204;1200;-9.99;0.29;2.00;0;1
20221205;1200;-0.04;0.29;2.00;2;1
20221206;1200;-0.04;0.29;2.00;2;1
20221207;1200;-0.04;0.29;2.00;2;1
20221208;1200;0.00;0.62;2.00;2;1
20221209;1200;0.00;0.40;5.00;2;1
20221210;1200;0.00;0.29;4.00;2;1
20221211;1200;-0.04;0.29;3.00;2;1
20221212;1200;-0.04;0.33;1.00;2;1
20221213;1200;-0.04;0.29;0.00;2;1
20221214;1200;0.43;2.64;16.00;2;1
20221215;1200;2.68;6.56;41.00;2;1
20221216;1200;0.11;0.36;5.00;2;1
20221217;1200;0.00;0.14;0.00;2;1
20221218;1200;0.00;0.14;0.00;2;1
20221219;1200;0.00;0.36;0.00;2;1
20221220;1200;-0.04;0.14;0.00;2;1
20221221;1200;0.00;0.14;0.00;2;1
20221222;1200;0.00;0.18;0.00;2;1
20221223;1200;0.00;0.11;0.00;2;1
20221224;1200;0.00;0.11;0.00;2;1
20221225;1200;0.00;0.18;0.00;2;1
20221226;1200;-0.04;0.22;0.00;2;1
20221227;1200;-0.04;0.33;4.00;2;1
20221228;1200;0.00;0.25;1.00;2;1
20221229;1200;0.00;0.18;0.00;2;1
20221230;1200;0.00;0.25;1.00;2;1
20221231;1200;0.00;0.22;0.00;2;1
