YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20220101;1200;0.00;0.24;0.00;2;1
20220102;1200;0.00;0.19;0.00;2;1
20220103;1200;0.00;0.19;0.00;2;1
20220104;1200;0.00;0.19;0.00;2;1
20220105;1200;0.00;0.19;0.00;2;1
20220106;1200;0.00;0.33;0.00;2;1
20220107;1200;0.00;0.24;0.00;2;1
20220108;1200;0.00;0.29;0.00;2;1
20220109;1200;0.19;2.42;1.00;2;1
20220110;1200;-0.05;0.67;3.00;2;1
20220111;1200;0.05;0.71;1.00;2;1
20220112;1200;0.00;0.14;0.00;2;1
20220113;1200;0.00;0.19;0.00;2;1
20220114;1200;0.00;0.38;1.00;2;1
20220115;1200;0.00;0.24;0.00;2;1
20220116;1200;0.00;0.14;0.00;2;1
20220117;1200;0.00;0.29;0.00;2;1
20220118;1200;-0.05;0.52;1.00;2;1
20220119;1200;0.00;0.19;0.00;2;1
20220120;1200;0.00;0.19;0.00;2;1
20220121;1200;0.00;0.24;0.00;2;1
20220122;1200;0.19;2.57;1.00;2;1
20220123;1200;0.00;0.24;0.00;2;1
20220124;1200;-0.05;0.33;1.00;2;1
20220125;1200;0.00;0.29;0.00;2;1
20220126;1200;0.05;0.71;1.00;2;1
20220127;1200;0.00;0.29;0.00;2;1
20220128;1200;9.46;0.00;3.00;2;1
20220129;1200;0.00;0.38;1.00;2;1
20220130;1200;-0.05;0.57;5.00;2;1
20220131;1200;-0.05;0.33;1.00;2;1
20220201;1200;-0.05;0.33;0.00;2;1
20220202;1200;0.33;3.18;3.00;2;1
20220203;1200;-0.05;0.29;1.00;2;1
20220204;1200;-0.05;0.29;0.00;2;1
20220205;1200;-0.05;0.29;0.00;2;1
20220206;1200;-0.05;0.29;0.00;2;1
20220207;1200;-0.05;0.29;0.00;2;1
20220208;1200;0.00;0.29;0.00;2;1
20220209;1200;0.00;0.33;1.00;2;1
20220210;1200;0.05;1.43;2.00;2;1
20220211;1200;-0.05;0.29;0.00;2;1
20220212;1200;0.00;0.33;0.00;2;1
20220213;1200;-0.05;0.33;0.00;2;1
20220214;1200;-0.05;0.29;0.00;2;1
20220215;1200;0.00;0.57;3.00;2;1
20220216;1200;0.00;0.29;0.00;2;1
20220217;1200;0.00;0.71;0.00;2;1
20220218;1200;0.00;0.62;0.00;2;1
20220219;1200;-0.05;0.95;1.00;2;1
20220220;1200;-0.05;0.48;1.00;2;1
20220221;1200;0.00;0.71;1.00;2;1
20220222;1200;0.05;0.90;1.00;2;1
20220223;1200;-0.05;0.24;0.00;2;1
20220224;1200;-0.05;0.24;0.00;2;1
20220225;1200;-0.05;0.33;0.00;2;1
20220226;1200;-0.05;0.24;0.00;2;1
20220227;1200;-0.05;0.29;0.00;2;1
20220228;1200;0.00;0.29;0.00;2;1
20220301;1200;0.81;19.63;5.00;2;1
20220302;1200;0.00;0.33;0.00;2;1
20220303;1200;0.00;0.38;2.00;2;1
20220304;1200;0.00;0.57;2.00;2;1
20220305;1200;0.10;1.81;2.00;2;1
20220306;1200;-0.05;0.81;3.00;2;1
20220307;1200;-0.05;0.33;0.00;2;1
20220308;1200;0.00;0.33;0.00;2;1
20220309;1200;-0.05;0.38;1.00;2;1
20220310;1200;-0.05;0.33;0.00;2;1
20220311;1200;0.00;0.33;0.00;2;1
20220312;1200;0.00;0.29;0.00;2;1
20220313;1200;-0.05;0.29;0.00;2;1
20220314;1200;0.10;1.28;1.00;2;1
20220315;1200;0.10;1.09;2.00;2;1
20220316;1200;0.00;0.29;0.00;2;1
20220317;1200;0.00;0.57;1.00;2;1
20220318;1200;0.00;0.48;1.00;2;1
20220319;1200;0.00;0.29;0.00;2;1
20220320;1200;0.14;45.21;5.00;2;1
20220321;1200;3.71;0.00;27.00;2;1
20220322;1200;-0.05;0.29;0.00;2;1
20220323;1200;0.00;0.71;1.00;2;1
20220324;1200;-0.05;0.29;0.00;2;1
20220325;1200;-0.05;0.29;0.00;2;1
20220326;1200;0.24;2.23;3.00;2;1
20220327;1200;0.38;4.04;5.00;2;1
20220328;1200;0.00;0.19;0.00;2;1
20220329;1200;0.00;0.24;0.00;2;1
20220330;1200;0.00;0.24;0.00;2;1
20220331;1200;0.00;0.19;0.00;2;1
