YYYYMMDD;HHMM;SST;Q;S
20221127;1200;25.40;2;1
20221128;1200;25.25;2;1
20221129;1200;25.14;2;1
20221130;1200;25.05;2;1
20221201;1200;24.98;2;1
20221202;1200;25.03;2;1
20221203;1200;25.35;2;1
20221204;1200;25.48;2;1
20221205;1200;25.54;2;1
20221206;1200;25.67;2;1
20221207;1200;25.73;2;1
20221208;1200;25.75;2;1
20221209;1200;25.79;2;1
20221210;1200;25.89;2;1
20221211;1200;25.94;2;1
20221212;1200;25.94;2;1
20221213;1200;25.96;2;1
20221214;1200;25.91;2;1
20221215;1200;25.79;2;1
20221216;1200;25.73;2;1
20221217;1200;25.91;2;1
20221218;1200;25.91;2;1
20221219;1200;26.09;2;1
20221220;1200;26.13;2;1
20221221;1200;26.12;2;1
20221222;1200;26.16;2;1
20221223;1200;26.44;2;1
20221224;1200;26.42;2;1
20221225;1200;26.23;2;1
20221226;1200;26.14;2;1
20221227;1200;26.20;2;1
20221228;1200;26.17;2;1
20221229;1200;26.23;2;1
20221230;1200;26.25;2;1
20221231;1200;26.24;2;1
