YYYYMMDD;HHMM;SST;Q;S
20220101;1200;-9.99;2;1
20220102;1200;-9.99;2;1
20220103;1200;-9.99;2;1
20220104;1200;-9.99;2;1
20220105;1200;-9.99;2;1
20220106;1200;-9.99;2;1
20220107;1200;-9.99;2;1
20220108;1200;-9.99;2;1
20220109;1200;-9.99;2;1
20220110;1200;-9.99;2;1
20220111;1200;-9.99;2;1
20220112;1200;-9.99;2;1
20220113;1200;-9.99;2;1
20220114;1200;-9.99;2;1
20220115;1200;-9.99;2;1
20220116;1200;-9.99;2;1
20220117;1200;-9.99;2;1
20220118;1200;-9.99;2;1
20220119;1200;-9.99;2;1
20220120;1200;-9.99;2;1
20220121;1200;-9.99;2;1
20220122;1200;-9.99;2;1
20220123;1200;-9.99;2;1
20220124;1200;-9.99;2;1
20220125;1200;-9.99;2;1
20220126;1200;-9.99;2;1
20220127;1200;-9.99;2;1
20220128;1200;-9.99;2;1
20220129;1200;-9.99;2;1
20220130;1200;-9.99;2;1
20220131;1200;-9.99;2;1
20220201;1200;-9.99;2;1
20220202;1200;-9.99;2;1
20220203;1200;-9.99;2;1
20220204;1200;-9.99;2;1
20220205;1200;-9.99;2;1
20220206;1200;-9.99;2;1
20220207;1200;-9.99;2;1
20220208;1200;-9.99;2;1
20220209;1200;-9.99;2;1
20220210;1200;-9.99;2;1
20220211;1200;-9.99;2;1
20220212;1200;-9.99;2;1
20220213;1200;-9.99;2;1
20220214;1200;-9.99;2;1
20220215;1200;-9.99;2;1
20220216;1200;-9.99;2;1
20220217;1200;-9.99;2;1
20220218;1200;-9.99;2;1
20220219;1200;-9.99;2;1
20220220;1200;-9.99;2;1
20220221;1200;-9.99;2;1
20220222;1200;-9.99;2;1
20220223;1200;-9.99;2;1
20220224;1200;-9.99;2;1
20220225;1200;-9.99;2;1
20220226;1200;-9.99;2;1
20220227;1200;-9.99;2;1
20220228;1200;-9.99;2;1
20220301;1200;-9.99;2;1
20220302;1200;-9.99;2;1
20220303;1200;-9.99;2;1
20220304;1200;-9.99;2;1
20220305;1200;-9.99;2;1
20220306;1200;-9.99;2;1
20220307;1200;-9.99;2;1
20220308;1200;-9.99;2;1
20220309;1200;-9.99;2;1
20220310;1200;-9.99;2;1
20220311;1200;-9.99;2;1
20220312;1200;-9.99;2;1
20220313;1200;-9.99;2;1
20220314;1200;-9.99;2;1
20220315;1200;-9.99;2;1
20220316;1200;-9.99;2;1
20220317;1200;-9.99;2;1
20220318;1200;-9.99;2;1
20220319;1200;-9.99;2;1
20220320;1200;-9.99;2;1
20220321;1200;-9.99;2;1
20220322;1200;-9.99;2;1
20220323;1200;-9.99;2;1
20220324;1200;-9.99;2;1
20220325;1200;-9.99;2;1
20220326;1200;-9.99;2;1
20220327;1200;-9.99;2;1
20220328;1200;-9.99;2;1
20220329;1200;-9.99;2;1
20220330;1200;-9.99;2;1
20220331;1200;-9.99;2;1
20220401;1200;-9.99;2;1
20220402;1200;-9.99;2;1
20220403;1200;-9.99;2;1
20220404;1200;-9.99;2;1
20220405;1200;-9.99;2;1
20220406;1200;-9.99;2;1
20220407;1200;-9.99;2;1
20220408;1200;-9.99;2;1
20220409;1200;-9.99;2;1
20220410;1200;-9.99;2;1
20220411;1200;-9.99;2;1
20220412;1200;-9.99;2;1
20220413;1200;-9.99;2;1
20220414;1200;-9.99;2;1
20220415;1200;-9.99;2;1
20220416;1200;-9.99;2;1
20220417;1200;-9.99;2;1
20220418;1200;-9.99;2;1
20220419;1200;-9.99;2;1
20220420;1200;-9.99;2;1
20220421;1200;-9.99;2;1
20220422;1200;-9.99;2;1
20220423;1200;-9.99;2;1
20220424;1200;-9.99;2;1
20220425;1200;-9.99;2;1
20220426;1200;-9.99;2;1
20220427;1200;-9.99;2;1
20220428;1200;-9.99;2;1
20220429;1200;-9.99;2;1
20220430;1200;-9.99;2;1
20220501;1200;-9.99;2;1
20220502;1200;-9.99;2;1
20220503;1200;-9.99;2;1
20220504;1200;-9.99;2;1
20220505;1200;-9.99;2;1
20220506;1200;-9.99;2;1
20220507;1200;-9.99;2;1
20220508;1200;-9.99;2;1
20220509;1200;-9.99;2;1
20220510;1200;-9.99;2;1
20220511;1200;-9.99;2;1
20220512;1200;-9.99;2;1
20220513;1200;-9.99;2;1
20220514;1200;-9.99;2;1
20220515;1200;-9.99;2;1
20220516;1200;-9.99;2;1
20220517;1200;-9.99;2;1
20220518;1200;-9.99;2;1
20220519;1200;-9.99;2;1
20220520;1200;-9.99;2;1
20220521;1200;27.41;2;1
20220522;1200;27.34;2;1
20220523;1200;27.14;2;1
20220524;1200;27.09;2;1
20220525;1200;26.99;2;1
20220526;1200;26.86;2;1
20220527;1200;26.72;2;1
20220528;1200;26.60;2;1
20220529;1200;26.62;2;1
20220530;1200;26.70;2;1
20220531;1200;26.79;2;1
20220601;1200;26.77;2;1
20220602;1200;26.77;2;1
20220603;1200;26.93;2;1
20220604;1200;26.69;2;1
20220605;1200;26.62;2;1
20220606;1200;26.55;2;1
20220607;1200;26.51;2;1
20220608;1200;26.55;2;1
20220609;1200;26.56;2;1
20220610;1200;26.50;2;1
20220611;1200;26.41;2;1
20220612;1200;26.48;2;1
20220613;1200;26.38;2;1
20220614;1200;26.23;2;1
20220615;1200;26.15;2;1
20220616;1200;26.04;2;1
20220617;1200;25.96;2;1
20220618;1200;25.93;2;1
20220619;1200;25.87;2;1
20220620;1200;25.72;2;1
20220621;1200;25.62;2;1
20220622;1200;25.55;2;1
20220623;1200;25.67;2;1
20220624;1200;25.62;2;1
20220625;1200;25.66;2;1
20220626;1200;25.67;2;1
20220627;1200;25.53;2;1
20220628;1200;25.52;2;1
20220629;1200;25.56;2;1
20220630;1200;25.56;2;1
20220701;1200;25.55;2;1
20220702;1200;25.50;2;1
20220703;1200;25.53;2;1
20220704;1200;25.46;2;1
20220705;1200;25.30;2;1
20220706;1200;25.27;2;1
20220707;1200;25.27;2;1
20220708;1200;25.30;2;1
20220709;1200;25.28;2;1
20220710;1200;25.25;2;1
20220711;1200;25.20;2;1
20220712;1200;25.17;2;1
20220713;1200;25.06;2;1
20220714;1200;24.91;2;1
20220715;1200;25.02;2;1
20220716;1200;24.96;2;1
20220717;1200;24.86;2;1
20220718;1200;24.82;2;1
20220719;1200;24.79;2;1
20220720;1200;24.77;2;1
20220721;1200;24.71;2;1
20220722;1200;24.71;2;1
20220723;1200;24.70;2;1
20220724;1200;24.67;2;1
20220725;1200;24.64;2;1
20220726;1200;24.62;2;1
20220727;1200;24.59;2;1
20220728;1200;24.60;2;1
20220729;1200;24.63;2;1
20220730;1200;24.67;2;1
20220731;1200;24.71;2;1
20220801;1200;24.78;2;1
20220802;1200;24.79;2;1
20220803;1200;24.77;2;1
20220804;1200;24.75;2;1
20220805;1200;24.72;2;1
20220806;1200;24.94;2;1
20220807;1200;24.75;2;1
20220808;1200;24.62;2;1
20220809;1200;24.64;2;1
20220810;1200;24.59;2;1
20220811;1200;24.60;2;1
20220812;1200;24.61;2;1
20220813;1200;24.45;2;1
20220814;1200;24.33;2;1
20220815;1200;24.26;2;1
20220816;1200;24.22;2;1
20220817;1200;24.19;2;1
20220818;1200;24.17;2;1
20220819;1200;24.15;2;1
20220820;1200;24.22;2;1
20220821;1200;24.25;2;1
20220822;1200;24.26;2;1
20220823;1200;24.26;2;1
20220824;1200;24.20;2;1
20220825;1200;24.20;2;1
20220826;1200;24.18;2;1
20220827;1200;24.14;2;1
20220828;1200;24.17;2;1
20220829;1200;24.37;2;1
20220830;1200;24.13;2;1
20220831;1200;23.99;2;1
20220901;1200;23.98;2;1
20220902;1200;24.07;2;1
20220903;1200;24.14;2;1
20220904;1200;24.17;2;1
20220905;1200;24.31;2;1
20220906;1200;24.13;2;1
20220907;1200;24.11;2;1
20220908;1200;24.09;2;1
20220909;1200;24.08;2;1
20220910;1200;24.12;2;1
20220911;1200;24.29;2;1
20220912;1200;24.36;2;1
20220913;1200;24.31;2;1
20220914;1200;24.30;2;1
20220915;1200;24.50;2;1
20220916;1200;24.78;2;1
20220917;1200;24.85;2;1
20220918;1200;24.36;2;1
20220919;1200;24.40;2;1
20220920;1200;24.41;2;1
20220921;1200;24.57;2;1
20220922;1200;24.69;2;1
20220923;1200;24.74;2;1
20220924;1200;24.86;2;1
20220925;1200;24.88;2;1
20220926;1200;24.87;2;1
20220927;1200;24.95;2;1
20220928;1200;25.19;2;1
20220929;1200;25.30;2;1
20220930;1200;25.24;2;1
20221001;1200;25.02;2;1
20221002;1200;25.08;2;1
20221003;1200;25.10;2;1
20221004;1200;25.17;2;1
20221005;1200;25.21;2;1
20221006;1200;25.46;2;1
20221007;1200;25.05;2;1
20221008;1200;25.08;2;1
20221009;1200;25.11;2;1
20221010;1200;25.15;2;1
20221011;1200;25.27;2;1
20221012;1200;25.30;2;1
20221013;1200;25.40;2;1
20221014;1200;25.33;2;1
20221015;1200;25.36;2;1
20221016;1200;25.30;2;1
20221017;1200;25.40;2;1
20221018;1200;25.38;2;1
20221019;1200;25.34;2;1
20221020;1200;25.26;2;1
20221021;1200;25.28;2;1
20221022;1200;25.28;2;1
20221023;1200;25.34;2;1
20221024;1200;25.30;2;1
20221025;1200;25.32;2;1
20221026;1200;25.70;2;1
20221027;1200;25.76;2;1
20221028;1200;25.60;2;1
20221029;1200;25.64;2;1
20221030;1200;25.57;2;1
20221031;1200;25.58;2;1
20221101;1200;25.67;2;1
20221102;1200;25.80;2;1
20221103;1200;25.82;2;1
20221104;1200;25.69;2;1
20221105;1200;25.56;2;1
20221106;1200;25.53;2;1
20221107;1200;25.45;2;1
20221108;1200;25.40;2;1
20221109;1200;25.40;2;1
20221110;1200;25.41;2;1
20221111;1200;25.49;2;1
20221112;1200;25.55;2;1
20221113;1200;25.43;2;1
20221114;1200;25.45;2;1
20221115;1200;25.55;2;1
20221116;1200;25.61;2;1
20221117;1200;25.61;2;1
20221118;1200;25.63;2;1
20221119;1200;25.71;2;1
20221120;1200;25.52;2;1
20221121;1200;25.54;2;1
20221122;1200;25.61;2;1
20221123;1200;25.69;2;1
20221124;1200;25.69;2;1
20221125;1200;25.62;2;1
20221126;1200;25.45;2;1
